year_week,count
2019_27,2
2019_28,2
2019_29,3
2019_30,4
2019_31,6
2019_32,9
2019_33,4
2019_34,10
2019_35,12
2019_36,16
2019_37,23
2019_38,16
2019_39,22
2019_40,25
2019_41,33
2019_42,28
2019_43,36
2019_44,39
2019_45,26
2019_46,41
2019_47,36
2019_48,35
2019_49,30
2019_50,46
2019_51,37
2019_52,12
2020_00,41
2020_01,40
2020_02,56
2020_03,41
2020_04,58
2020_05,59
2020_06,56
2020_07,53
2020_08,57
2020_09,63
2020_10,66
2020_11,72
2020_12,85
2020_13,85
2020_14,76
2020_15,62
2020_16,63
2020_17,77
2020_18,68
2020_19,60
2020_20,98
2020_21,79
2020_22,76
2020_23,85
2020_24,92
2020_25,97
2020_26,81
2020_27,79
2020_28,101
2020_29,89
2020_30,91
2020_31,98
2020_32,89
2020_33,101
2020_34,100
2020_35,120
2020_36,100
2020_37,82
2020_38,132
2020_39,134
2020_40,108
2020_41,90
2020_42,105
2020_43,107
2020_44,121
2020_45,120
2020_46,124
2020_47,158
2020_48,135
2020_49,125
2020_50,115
2020_51,135
2020_52,55
2021_00,119
2021_01,145
2021_02,137
2021_03,139
2021_04,132
2021_05,155
2021_06,152
2021_07,108
2021_08,145
2021_09,151
2021_10,154
2021_11,153
2021_12,155
2021_13,146
2021_14,177
2021_15,155
2021_16,143
2021_17,157
2021_18,156
2021_19,166
2021_20,166
2021_21,176
2021_22,205
2021_23,182
2021_24,174
2021_25,138
2021_26,203
2021_27,146
2021_28,161
2021_29,206
2021_30,179
2021_31,193
2021_32,187
2021_33,210
2021_34,226
2021_35,200
2021_36,192
2021_37,195
2021_38,204
2021_39,213
2021_40,175
2021_41,195
2021_42,194
2021_43,207
2021_44,204
2021_45,218
2021_46,219
2021_47,213
2021_48,270
2021_49,259
2021_50,236
2021_51,211
2021_52,51
2022_00,219
2022_01,234
2022_02,249
2022_03,239
2022_04,255
2022_05,236
2022_06,253
2022_07,263
2022_08,282
2022_09,237
2022_10,276
2022_11,235
2022_12,263
2022_13,251
2022_14,295
2022_15,254
2022_16,234
2022_17,265
2022_18,283
2022_19,283
2022_20,319
2022_21,291
2022_22,276
2022_23,320
2022_24,296
2022_25,241
2022_26,275
2022_27,306
2022_28,252
2022_29,264
2022_30,309
2022_31,264
2022_32,275
2022_33,287
2022_34,323
2022_35,299
2022_36,249
2022_37,277
2022_38,303
2022_39,290
2022_40,312
2022_41,295
2022_42,325
2022_43,327
2022_44,351
2022_45,338
2022_46,338
2022_47,309
2022_48,311
2022_49,335
2022_50,309
2022_51,323
2022_52,124
2023_00,248
2023_01,346
2023_02,318
2023_03,347
2023_04,388
2023_05,340
2023_06,320
2023_07,338
2023_08,330
2023_09,378
2023_10,364
2023_11,370
2023_12,380
2023_13,329
2023_14,357
2023_15,356
2023_16,329
2023_17,358
2023_18,308
2023_19,348
2023_20,356
2023_21,382
2023_22,431
2023_23,401
2023_24,393
2023_25,360
2023_26,385
2023_27,385
2023_28,372
2023_29,389
2023_30,391
2023_31,394
2023_32,380
2023_33,412
2023_34,394
2023_35,382
2023_36,404
2023_37,408
2023_38,433
2023_39,414
2023_40,431
2023_41,433
2023_42,450
2023_43,431
2023_44,412
2023_45,424
2023_46,423
2023_47,425
2023_48,424
2023_49,188
