year_week,count
2019_28,1
2019_29,2
2019_31,2
2019_32,5
2019_33,7
2019_34,4
2019_35,6
2019_36,4
2019_37,7
2019_38,11
2019_39,10
2019_40,13
2019_41,10
2019_42,8
2019_43,10
2019_44,16
2019_45,21
2019_46,12
2019_47,24
2019_48,14
2019_49,19
2019_50,25
2019_51,23
2019_52,7
2020_00,25
2020_01,30
2020_02,12
2020_03,30
2020_04,28
2020_05,44
2020_06,16
2020_07,29
2020_08,25
2020_09,30
2020_10,42
2020_11,45
2020_12,35
2020_13,31
2020_14,43
2020_15,25
2020_16,44
2020_17,32
2020_18,42
2020_19,43
2020_20,33
2020_21,49
2020_22,55
2020_23,34
2020_24,31
2020_25,40
2020_26,49
2020_27,34
2020_28,47
2020_29,47
2020_30,38
2020_31,45
2020_32,47
2020_33,50
2020_34,53
2020_35,48
2020_36,57
2020_37,61
2020_38,54
2020_39,61
2020_40,63
2020_41,79
2020_42,66
2020_43,78
2020_44,45
2020_45,54
2020_46,67
2020_47,47
2020_48,61
2020_49,71
2020_50,62
2020_51,57
2020_52,20
2021_00,54
2021_01,66
2021_02,59
2021_03,69
2021_04,80
2021_05,72
2021_06,67
2021_07,94
2021_08,74
2021_09,83
2021_10,61
2021_11,71
2021_12,77
2021_13,83
2021_14,62
2021_15,91
2021_16,77
2021_17,71
2021_18,94
2021_19,100
2021_20,86
2021_21,92
2021_22,98
2021_23,75
2021_24,97
2021_25,92
2021_26,97
2021_27,102
2021_28,98
2021_29,85
2021_30,101
2021_31,97
2021_32,85
2021_33,96
2021_34,104
2021_35,95
2021_36,96
2021_37,103
2021_38,100
2021_39,96
2021_40,113
2021_41,108
2021_42,125
2021_43,102
2021_44,124
2021_45,106
2021_46,119
2021_47,102
2021_48,114
2021_49,115
2021_50,117
2021_51,117
2021_52,16
2022_00,112
2022_01,128
2022_02,142
2022_03,138
2022_04,114
2022_05,97
2022_06,103
2022_07,114
2022_08,111
2022_09,99
2022_10,120
2022_11,132
2022_12,144
2022_13,122
2022_14,123
2022_15,100
2022_16,120
2022_17,131
2022_18,136
2022_19,128
2022_20,132
2022_21,121
2022_22,132
2022_23,131
2022_24,148
2022_25,142
2022_26,140
2022_27,165
2022_28,126
2022_29,143
2022_30,135
2022_31,144
2022_32,135
2022_33,134
2022_34,154
2022_35,165
2022_36,143
2022_37,150
2022_38,140
2022_39,124
2022_40,159
2022_41,149
2022_42,159
2022_43,172
2022_44,174
2022_45,142
2022_46,152
2022_47,179
2022_48,160
2022_49,152
2022_50,146
2022_51,169
2022_52,47
2023_00,137
2023_01,168
2023_02,183
2023_03,167
2023_04,155
2023_05,178
2023_06,174
2023_07,155
2023_08,187
2023_09,166
2023_10,179
2023_11,176
2023_12,169
2023_13,174
2023_14,191
2023_15,165
2023_16,178
2023_17,199
2023_18,192
2023_19,184
2023_20,197
2023_21,197
2023_22,202
2023_23,202
2023_24,211
2023_25,209
2023_26,212
2023_27,208
2023_28,191
2023_29,231
2023_30,214
2023_31,216
2023_32,213
2023_33,201
2023_34,207
2023_35,188
2023_36,206
2023_37,204
2023_38,210
2023_39,194
2023_40,226
2023_41,192
2023_42,212
2023_43,217
2023_44,220
2023_45,196
2023_46,227
2023_47,199
2023_48,214
2023_49,99
