year_week,count
2019_31,1
2019_34,1
2019_36,1
2019_42,2
2019_43,2
2019_44,1
2020_01,1
2020_02,1
2020_05,1
2020_06,1
2020_09,1
2020_14,1
2020_16,3
2020_17,1
2020_18,3
2020_19,1
2020_21,1
2020_25,2
2020_26,5
2020_28,1
2020_29,1
2020_30,1
2020_31,2
2020_32,2
2020_33,1
2020_34,1
2020_35,1
2020_36,4
2020_38,1
2020_39,1
2020_41,4
2020_42,1
2020_43,3
2020_44,1
2020_45,1
2020_46,2
2020_48,1
2020_50,1
2020_51,3
2021_00,1
2021_01,1
2021_02,1
2021_03,3
2021_04,1
2021_05,2
2021_06,2
2021_07,1
2021_09,1
2021_10,1
2021_11,1
2021_13,1
2021_14,1
2021_15,1
2021_16,1
2021_17,1
2021_18,2
2021_19,2
2021_20,3
2021_21,1
2021_22,4
2021_23,3
2021_25,2
2021_26,3
2021_27,1
2021_28,1
2021_29,5
2021_31,2
2021_32,3
2021_33,1
2021_34,1
2021_35,1
2021_36,1
2021_39,1
2021_40,2
2021_41,5
2021_42,1
2021_43,1
2021_44,1
2021_45,2
2021_46,1
2021_47,3
2021_48,2
2021_49,3
2021_50,5
2021_51,2
2021_52,3
2022_00,3
2022_01,4
2022_03,2
2022_04,5
2022_05,2
2022_06,1
2022_07,2
2022_08,3
2022_09,4
2022_10,2
2022_11,2
2022_12,2
2022_13,1
2022_14,1
2022_15,1
2022_16,2
2022_17,1
2022_18,2
2022_19,4
2022_20,2
2022_21,5
2022_22,4
2022_23,3
2022_24,5
2022_25,4
2022_26,3
2022_27,3
2022_28,1
2022_29,2
2022_30,2
2022_31,3
2022_32,5
2022_33,2
2022_34,3
2022_36,4
2022_37,5
2022_38,3
2022_39,6
2022_40,2
2022_41,2
2022_42,3
2022_43,2
2022_44,1
2022_45,3
2022_46,2
2022_47,3
2022_48,3
2022_49,7
2022_50,4
2022_51,12
2022_52,1
2023_00,6
2023_01,5
2023_02,4
2023_03,3
2023_04,2
2023_05,3
2023_06,4
2023_07,2
2023_08,4
2023_09,6
2023_10,6
2023_11,1
2023_12,4
2023_13,2
2023_14,6
2023_15,4
2023_16,5
2023_17,3
2023_18,2
2023_19,2
2023_20,2
2023_21,2
2023_22,4
2023_23,5
2023_24,5
2023_25,4
2023_26,5
2023_27,11
2023_28,4
2023_29,3
2023_30,2
2023_31,3
2023_32,4
2023_33,5
2023_34,3
2023_35,2
2023_36,3
2023_37,7
2023_38,5
2023_39,4
2023_40,1
2023_41,7
2023_42,2
2023_43,2
2023_44,2
2023_45,5
2023_46,2
2023_47,4
2023_48,5
2023_49,1
