year_week,count
2019_29,1
2019_30,4
2019_31,6
2019_32,2
2019_33,4
2019_34,5
2019_35,7
2019_36,8
2019_37,7
2019_38,10
2019_39,4
2019_40,12
2019_41,16
2019_42,11
2019_43,11
2019_44,18
2019_45,13
2019_46,21
2019_47,19
2019_48,14
2019_49,18
2019_50,18
2019_51,20
2019_52,2
2020_00,16
2020_01,24
2020_02,19
2020_03,20
2020_04,28
2020_05,19
2020_06,13
2020_07,12
2020_08,27
2020_09,25
2020_10,19
2020_11,25
2020_12,23
2020_13,23
2020_14,31
2020_15,30
2020_16,28
2020_17,37
2020_18,37
2020_19,31
2020_20,37
2020_21,32
2020_22,45
2020_23,37
2020_24,46
2020_25,33
2020_26,33
2020_27,30
2020_28,47
2020_29,42
2020_30,37
2020_31,45
2020_32,55
2020_33,45
2020_34,36
2020_35,43
2020_36,52
2020_37,38
2020_38,65
2020_39,41
2020_40,41
2020_41,40
2020_42,67
2020_43,53
2020_44,48
2020_45,46
2020_46,56
2020_47,59
2020_48,79
2020_49,57
2020_50,41
2020_51,74
2020_52,21
2021_00,33
2021_01,59
2021_02,57
2021_03,50
2021_04,60
2021_05,57
2021_06,64
2021_07,59
2021_08,46
2021_09,50
2021_10,70
2021_11,75
2021_12,62
2021_13,73
2021_14,76
2021_15,69
2021_16,60
2021_17,76
2021_18,58
2021_19,75
2021_20,69
2021_21,70
2021_22,83
2021_23,67
2021_24,80
2021_25,76
2021_26,86
2021_27,60
2021_28,82
2021_29,82
2021_30,66
2021_31,80
2021_32,78
2021_33,87
2021_34,84
2021_35,65
2021_36,104
2021_37,94
2021_38,100
2021_39,63
2021_40,92
2021_41,90
2021_42,95
2021_43,104
2021_44,101
2021_45,99
2021_46,102
2021_47,100
2021_48,88
2021_49,89
2021_50,98
2021_51,104
2021_52,22
2022_00,99
2022_01,95
2022_02,92
2022_03,89
2022_04,98
2022_05,95
2022_06,116
2022_07,121
2022_08,130
2022_09,107
2022_10,112
2022_11,109
2022_12,112
2022_13,114
2022_14,114
2022_15,123
2022_16,108
2022_17,98
2022_18,131
2022_19,100
2022_20,138
2022_21,108
2022_22,126
2022_23,137
2022_24,133
2022_25,146
2022_26,135
2022_27,141
2022_28,116
2022_29,132
2022_30,126
2022_31,119
2022_32,127
2022_33,145
2022_34,118
2022_35,125
2022_36,137
2022_37,129
2022_38,136
2022_39,124
2022_40,134
2022_41,140
2022_42,143
2022_43,146
2022_44,148
2022_45,149
2022_46,131
2022_47,128
2022_48,134
2022_49,163
2022_50,161
2022_51,134
2022_52,49
2023_00,132
2023_01,177
2023_02,127
2023_03,164
2023_04,153
2023_05,169
2023_06,124
2023_07,181
2023_08,163
2023_09,163
2023_10,144
2023_11,137
2023_12,183
2023_13,144
2023_14,167
2023_15,169
2023_16,161
2023_17,151
2023_18,130
2023_19,154
2023_20,163
2023_21,136
2023_22,143
2023_23,158
2023_24,166
2023_25,175
2023_26,167
2023_27,173
2023_28,158
2023_29,146
2023_30,184
2023_31,168
2023_32,188
2023_33,175
2023_34,192
2023_35,176
2023_36,161
2023_37,169
2023_38,206
2023_39,181
2023_40,178
2023_41,173
2023_42,181
2023_43,162
2023_44,185
2023_45,186
2023_46,189
2023_47,195
2023_48,171
2023_49,72
