year_week,count
2019_35,1
2019_36,1
2019_37,1
2019_38,1
2019_40,1
2019_42,2
2019_43,2
2019_44,2
2019_45,1
2019_46,3
2019_47,2
2019_49,1
2019_50,1
2020_00,1
2020_04,3
2020_07,2
2020_10,1
2020_12,2
2020_14,2
2020_15,1
2020_16,2
2020_17,2
2020_18,2
2020_20,1
2020_21,2
2020_22,1
2020_23,1
2020_25,2
2020_26,1
2020_27,2
2020_28,2
2020_30,2
2020_31,1
2020_32,3
2020_33,2
2020_34,3
2020_35,1
2020_36,2
2020_37,1
2020_38,1
2020_39,2
2020_40,6
2020_41,1
2020_42,3
2020_43,1
2020_44,1
2020_45,5
2020_46,7
2020_48,4
2020_49,1
2020_50,1
2020_51,1
2020_52,1
2021_00,1
2021_01,2
2021_02,3
2021_03,3
2021_04,5
2021_05,3
2021_06,2
2021_07,3
2021_08,3
2021_09,4
2021_10,3
2021_11,1
2021_12,3
2021_13,1
2021_14,2
2021_15,4
2021_16,1
2021_17,4
2021_18,2
2021_19,1
2021_20,3
2021_21,3
2021_22,4
2021_23,3
2021_24,3
2021_25,4
2021_26,7
2021_27,2
2021_28,2
2021_29,2
2021_30,7
2021_31,2
2021_32,3
2021_33,7
2021_34,4
2021_35,3
2021_36,3
2021_37,4
2021_38,1
2021_39,5
2021_40,4
2021_41,7
2021_42,2
2021_43,3
2021_44,2
2021_45,8
2021_46,4
2021_47,4
2021_48,2
2021_49,5
2021_50,3
2021_51,7
2021_52,2
2022_00,3
2022_01,10
2022_02,5
2022_03,3
2022_04,2
2022_05,5
2022_06,2
2022_07,4
2022_08,6
2022_09,5
2022_10,5
2022_11,3
2022_12,4
2022_13,3
2022_14,3
2022_15,5
2022_16,5
2022_17,5
2022_18,5
2022_19,2
2022_20,11
2022_21,4
2022_22,4
2022_23,2
2022_24,4
2022_25,5
2022_26,4
2022_27,7
2022_28,3
2022_29,4
2022_30,4
2022_31,11
2022_32,3
2022_33,1
2022_34,7
2022_35,7
2022_36,6
2022_37,6
2022_38,10
2022_39,7
2022_40,2
2022_41,7
2022_42,8
2022_43,10
2022_44,5
2022_45,7
2022_46,3
2022_47,5
2022_48,5
2022_49,1
2022_50,6
2022_51,11
2022_52,2
2023_00,8
2023_01,2
2023_02,7
2023_03,9
2023_04,4
2023_05,7
2023_06,6
2023_07,8
2023_08,16
2023_09,7
2023_10,10
2023_11,5
2023_12,10
2023_13,5
2023_14,11
2023_15,11
2023_16,8
2023_17,9
2023_18,5
2023_19,9
2023_20,12
2023_21,10
2023_22,9
2023_23,6
2023_24,10
2023_25,10
2023_26,12
2023_27,6
2023_28,8
2023_29,10
2023_30,8
2023_31,7
2023_32,7
2023_33,10
2023_34,10
2023_35,10
2023_36,5
2023_37,5
2023_38,14
2023_39,12
2023_40,12
2023_41,10
2023_42,9
2023_43,8
2023_44,6
2023_45,5
2023_46,3
2023_47,9
2023_48,12
2023_49,3
