year_week,count
2019_30,1
2019_43,1
2019_45,1
2019_49,2
2019_51,1
2020_00,1
2020_04,1
2020_06,1
2020_09,1
2020_10,1
2020_13,1
2020_14,1
2020_15,1
2020_16,1
2020_18,1
2020_19,2
2020_24,2
2020_26,4
2020_27,1
2020_28,1
2020_30,1
2020_31,1
2020_32,1
2020_34,2
2020_35,1
2020_36,1
2020_38,1
2020_39,2
2020_41,1
2020_43,2
2020_44,1
2020_45,1
2020_46,2
2020_47,1
2020_48,3
2020_50,2
2020_51,1
2021_01,4
2021_04,2
2021_05,3
2021_06,1
2021_07,2
2021_08,4
2021_09,2
2021_10,1
2021_11,3
2021_12,3
2021_14,3
2021_15,1
2021_17,1
2021_18,2
2021_19,6
2021_20,3
2021_21,2
2021_22,3
2021_23,1
2021_24,3
2021_25,3
2021_26,2
2021_27,2
2021_28,2
2021_29,1
2021_30,1
2021_31,1
2021_32,1
2021_33,1
2021_34,3
2021_35,4
2021_36,6
2021_37,1
2021_39,7
2021_40,4
2021_42,1
2021_43,2
2021_44,2
2021_45,1
2021_46,3
2021_47,3
2021_48,1
2021_49,3
2021_50,2
2021_51,1
2022_00,5
2022_01,7
2022_02,4
2022_03,2
2022_04,2
2022_06,2
2022_07,4
2022_08,4
2022_09,5
2022_10,2
2022_12,1
2022_14,4
2022_15,1
2022_16,1
2022_17,4
2022_18,2
2022_19,2
2022_20,5
2022_21,2
2022_22,4
2022_23,4
2022_24,5
2022_25,3
2022_26,1
2022_27,3
2022_28,2
2022_29,5
2022_30,1
2022_31,5
2022_32,1
2022_33,3
2022_34,5
2022_35,2
2022_36,2
2022_37,1
2022_38,4
2022_39,3
2022_40,4
2022_41,4
2022_42,3
2022_43,3
2022_44,2
2022_45,3
2022_46,3
2022_47,1
2022_48,3
2022_49,5
2022_50,1
2022_51,2
2022_52,1
2023_00,3
2023_01,4
2023_02,2
2023_03,2
2023_04,3
2023_05,4
2023_06,5
2023_07,2
2023_08,4
2023_09,8
2023_10,6
2023_11,2
2023_12,3
2023_13,3
2023_14,5
2023_15,2
2023_16,4
2023_17,9
2023_18,7
2023_19,5
2023_20,1
2023_21,3
2023_22,7
2023_23,4
2023_24,8
2023_25,5
2023_26,10
2023_27,6
2023_28,4
2023_29,3
2023_30,2
2023_31,1
2023_32,2
2023_33,4
2023_34,4
2023_35,4
2023_36,2
2023_37,4
2023_38,3
2023_39,6
2023_40,5
2023_41,1
2023_42,3
2023_43,1
2023_44,3
2023_45,5
2023_46,3
2023_47,6
2023_48,7
2023_49,1
