year_week,count
2019_28,1
2019_29,2
2019_30,3
2019_31,1
2019_32,1
2019_33,1
2019_34,5
2019_36,2
2019_37,6
2019_38,5
2019_39,5
2019_40,3
2019_41,7
2019_42,5
2019_43,10
2019_44,13
2019_45,7
2019_46,9
2019_47,6
2019_48,15
2019_49,12
2019_50,12
2019_51,5
2019_52,2
2020_00,5
2020_01,12
2020_02,13
2020_03,8
2020_04,13
2020_05,7
2020_06,9
2020_07,15
2020_08,11
2020_09,17
2020_10,11
2020_11,12
2020_12,11
2020_13,19
2020_14,13
2020_15,16
2020_16,14
2020_17,18
2020_18,23
2020_19,6
2020_20,13
2020_21,20
2020_22,13
2020_23,10
2020_24,17
2020_25,13
2020_26,17
2020_27,16
2020_28,20
2020_29,19
2020_30,31
2020_31,20
2020_32,18
2020_33,25
2020_34,13
2020_35,41
2020_36,24
2020_37,26
2020_38,27
2020_39,17
2020_40,27
2020_41,27
2020_42,14
2020_43,27
2020_44,27
2020_45,31
2020_46,25
2020_47,30
2020_48,32
2020_49,25
2020_50,27
2020_51,20
2020_52,12
2021_00,29
2021_01,27
2021_02,24
2021_03,31
2021_04,25
2021_05,31
2021_06,21
2021_07,32
2021_08,33
2021_09,36
2021_10,37
2021_11,44
2021_12,32
2021_13,41
2021_14,33
2021_15,31
2021_16,34
2021_17,33
2021_18,30
2021_19,44
2021_20,36
2021_21,37
2021_22,35
2021_23,41
2021_24,30
2021_25,54
2021_26,41
2021_27,40
2021_28,40
2021_29,32
2021_30,39
2021_31,41
2021_32,33
2021_33,40
2021_34,44
2021_35,43
2021_36,51
2021_37,53
2021_38,32
2021_39,62
2021_40,45
2021_41,50
2021_42,45
2021_43,42
2021_44,61
2021_45,58
2021_46,47
2021_47,37
2021_48,53
2021_49,54
2021_50,36
2021_51,47
2021_52,3
2022_00,56
2022_01,56
2022_02,54
2022_03,52
2022_04,57
2022_05,60
2022_06,52
2022_07,58
2022_08,56
2022_09,73
2022_10,49
2022_11,64
2022_12,74
2022_13,55
2022_14,65
2022_15,70
2022_16,56
2022_17,60
2022_18,62
2022_19,51
2022_20,60
2022_21,61
2022_22,75
2022_23,74
2022_24,66
2022_25,52
2022_26,57
2022_27,63
2022_28,70
2022_29,58
2022_30,60
2022_31,72
2022_32,65
2022_33,79
2022_34,70
2022_35,64
2022_36,71
2022_37,59
2022_38,62
2022_39,54
2022_40,64
2022_41,83
2022_42,72
2022_43,76
2022_44,68
2022_45,81
2022_46,62
2022_47,85
2022_48,73
2022_49,80
2022_50,71
2022_51,71
2022_52,23
2023_00,60
2023_01,91
2023_02,85
2023_03,79
2023_04,73
2023_05,87
2023_06,84
2023_07,86
2023_08,100
2023_09,82
2023_10,76
2023_11,87
2023_12,86
2023_13,77
2023_14,82
2023_15,94
2023_16,82
2023_17,89
2023_18,66
2023_19,82
2023_20,83
2023_21,74
2023_22,93
2023_23,93
2023_24,84
2023_25,107
2023_26,87
2023_27,101
2023_28,93
2023_29,90
2023_30,85
2023_31,107
2023_32,109
2023_33,85
2023_34,86
2023_35,84
2023_36,101
2023_37,103
2023_38,82
2023_39,80
2023_40,100
2023_41,116
2023_42,77
2023_43,90
2023_44,105
2023_45,86
2023_46,86
2023_47,84
2023_48,96
2023_49,36
