year_week,count
2019_28,3
2019_29,2
2019_30,3
2019_32,6
2019_33,9
2019_34,4
2019_35,15
2019_36,11
2019_37,11
2019_38,14
2019_39,10
2019_40,24
2019_41,20
2019_42,21
2019_43,17
2019_44,22
2019_45,23
2019_46,19
2019_47,24
2019_48,27
2019_49,40
2019_50,30
2019_51,22
2019_52,6
2020_00,29
2020_01,31
2020_02,45
2020_03,35
2020_04,35
2020_05,35
2020_06,37
2020_07,40
2020_08,45
2020_09,38
2020_10,49
2020_11,51
2020_12,55
2020_13,44
2020_14,50
2020_15,46
2020_16,49
2020_17,48
2020_18,55
2020_19,62
2020_20,53
2020_21,56
2020_22,67
2020_23,74
2020_24,71
2020_25,50
2020_26,66
2020_27,70
2020_28,61
2020_29,56
2020_30,67
2020_31,60
2020_32,78
2020_33,67
2020_34,66
2020_35,84
2020_36,66
2020_37,63
2020_38,72
2020_39,77
2020_40,77
2020_41,77
2020_42,69
2020_43,72
2020_44,85
2020_45,99
2020_46,101
2020_47,84
2020_48,89
2020_49,99
2020_50,86
2020_51,92
2020_52,31
2021_00,80
2021_01,75
2021_02,81
2021_03,100
2021_04,107
2021_05,89
2021_06,94
2021_07,88
2021_08,113
2021_09,95
2021_10,79
2021_11,115
2021_12,107
2021_13,104
2021_14,108
2021_15,94
2021_16,88
2021_17,121
2021_18,113
2021_19,100
2021_20,123
2021_21,112
2021_22,104
2021_23,105
2021_24,121
2021_25,118
2021_26,121
2021_27,127
2021_28,131
2021_29,111
2021_30,150
2021_31,128
2021_32,125
2021_33,135
2021_34,140
2021_35,147
2021_36,155
2021_37,142
2021_38,144
2021_39,120
2021_40,135
2021_41,148
2021_42,146
2021_43,138
2021_44,155
2021_45,155
2021_46,149
2021_47,156
2021_48,172
2021_49,152
2021_50,136
2021_51,162
2021_52,32
2022_00,141
2022_01,145
2022_02,183
2022_03,169
2022_04,146
2022_05,155
2022_06,159
2022_07,194
2022_08,166
2022_09,166
2022_10,169
2022_11,170
2022_12,175
2022_13,200
2022_14,182
2022_15,173
2022_16,179
2022_17,188
2022_18,197
2022_19,201
2022_20,204
2022_21,172
2022_22,196
2022_23,193
2022_24,166
2022_25,196
2022_26,213
2022_27,205
2022_28,204
2022_29,188
2022_30,197
2022_31,210
2022_32,192
2022_33,197
2022_34,198
2022_35,190
2022_36,204
2022_37,205
2022_38,210
2022_39,197
2022_40,233
2022_41,235
2022_42,208
2022_43,224
2022_44,218
2022_45,219
2022_46,227
2022_47,232
2022_48,206
2022_49,243
2022_50,245
2022_51,221
2022_52,80
2023_00,189
2023_01,218
2023_02,245
2023_03,258
2023_04,257
2023_05,222
2023_06,211
2023_07,259
2023_08,266
2023_09,277
2023_10,279
2023_11,239
2023_12,262
2023_13,249
2023_14,270
2023_15,225
2023_16,239
2023_17,225
2023_18,250
2023_19,260
2023_20,265
2023_21,259
2023_22,258
2023_23,281
2023_24,270
2023_25,301
2023_26,248
2023_27,266
2023_28,311
2023_29,278
2023_30,293
2023_31,277
2023_32,266
2023_33,291
2023_34,288
2023_35,290
2023_36,316
2023_37,302
2023_38,272
2023_39,259
2023_40,272
2023_41,299
2023_42,299
2023_43,286
2023_44,268
2023_45,304
2023_46,305
2023_47,290
2023_48,285
2023_49,118
