year_week,count
2019_30,2
2019_31,1
2019_33,1
2019_34,1
2019_35,1
2019_36,2
2019_38,1
2019_39,1
2019_40,4
2019_41,7
2019_42,6
2019_43,2
2019_44,7
2019_45,2
2019_46,4
2019_47,5
2019_48,9
2019_49,11
2019_50,4
2019_51,7
2020_00,8
2020_01,4
2020_02,4
2020_03,9
2020_04,5
2020_05,10
2020_06,12
2020_07,10
2020_08,9
2020_09,11
2020_10,12
2020_11,6
2020_12,9
2020_13,12
2020_14,16
2020_15,12
2020_16,19
2020_17,7
2020_18,10
2020_19,8
2020_20,7
2020_21,12
2020_22,12
2020_23,7
2020_24,9
2020_25,18
2020_26,16
2020_27,10
2020_28,16
2020_29,11
2020_30,22
2020_31,14
2020_32,14
2020_33,17
2020_34,19
2020_35,15
2020_36,13
2020_37,20
2020_38,13
2020_39,18
2020_40,17
2020_41,17
2020_42,9
2020_43,21
2020_44,14
2020_45,17
2020_46,17
2020_47,17
2020_48,16
2020_49,19
2020_50,14
2020_51,19
2020_52,3
2021_00,23
2021_01,17
2021_02,25
2021_03,22
2021_04,16
2021_05,25
2021_06,25
2021_07,19
2021_08,23
2021_09,20
2021_10,26
2021_11,25
2021_12,18
2021_13,25
2021_14,35
2021_15,30
2021_16,28
2021_17,19
2021_18,21
2021_19,23
2021_20,26
2021_21,29
2021_22,32
2021_23,21
2021_24,27
2021_25,36
2021_26,22
2021_27,29
2021_28,25
2021_29,28
2021_30,29
2021_31,32
2021_32,25
2021_33,33
2021_34,42
2021_35,17
2021_36,23
2021_37,28
2021_38,40
2021_39,32
2021_40,26
2021_41,37
2021_42,28
2021_43,35
2021_44,37
2021_45,30
2021_46,26
2021_47,28
2021_48,26
2021_49,29
2021_50,38
2021_51,36
2021_52,6
2022_00,30
2022_01,38
2022_02,28
2022_03,26
2022_04,32
2022_05,31
2022_06,22
2022_07,18
2022_08,36
2022_09,37
2022_10,37
2022_11,41
2022_12,33
2022_13,34
2022_14,30
2022_15,32
2022_16,33
2022_17,42
2022_18,36
2022_19,31
2022_20,41
2022_21,33
2022_22,38
2022_23,41
2022_24,31
2022_25,49
2022_26,45
2022_27,30
2022_28,27
2022_29,48
2022_30,46
2022_31,49
2022_32,44
2022_33,28
2022_34,42
2022_35,42
2022_36,34
2022_37,53
2022_38,38
2022_39,37
2022_40,49
2022_41,39
2022_42,45
2022_43,59
2022_44,56
2022_45,61
2022_46,34
2022_47,49
2022_48,49
2022_49,58
2022_50,54
2022_51,42
2022_52,19
2023_00,48
2023_01,49
2023_02,40
2023_03,51
2023_04,46
2023_05,60
2023_06,74
2023_07,49
2023_08,44
2023_09,51
2023_10,55
2023_11,72
2023_12,53
2023_13,69
2023_14,47
2023_15,52
2023_16,52
2023_17,54
2023_18,49
2023_19,62
2023_20,55
2023_21,53
2023_22,50
2023_23,56
2023_24,57
2023_25,78
2023_26,68
2023_27,50
2023_28,42
2023_29,55
2023_30,54
2023_31,61
2023_32,62
2023_33,66
2023_34,77
2023_35,73
2023_36,62
2023_37,54
2023_38,57
2023_39,41
2023_40,59
2023_41,54
2023_42,52
2023_43,75
2023_44,60
2023_45,65
2023_46,62
2023_47,82
2023_48,67
2023_49,21
