year_week,count
2019_30,1
2019_32,3
2019_34,3
2019_35,2
2019_36,1
2019_37,1
2019_38,3
2019_39,2
2019_40,3
2019_41,2
2019_42,6
2019_43,3
2019_44,7
2019_45,2
2019_46,7
2019_47,7
2019_48,3
2019_49,5
2019_50,8
2019_51,8
2019_52,3
2020_00,2
2020_01,6
2020_02,9
2020_03,7
2020_04,8
2020_05,8
2020_06,9
2020_07,7
2020_08,10
2020_09,10
2020_10,11
2020_11,16
2020_12,6
2020_13,8
2020_14,9
2020_15,9
2020_16,9
2020_17,10
2020_18,5
2020_19,11
2020_20,8
2020_21,14
2020_22,10
2020_23,16
2020_24,12
2020_25,10
2020_26,8
2020_27,15
2020_28,13
2020_29,15
2020_30,18
2020_31,14
2020_32,10
2020_33,12
2020_34,13
2020_35,27
2020_36,23
2020_37,14
2020_38,17
2020_39,21
2020_40,10
2020_41,18
2020_42,18
2020_43,16
2020_44,15
2020_45,22
2020_46,15
2020_47,15
2020_48,25
2020_49,16
2020_50,17
2020_51,20
2020_52,5
2021_00,21
2021_01,21
2021_02,21
2021_03,22
2021_04,23
2021_05,34
2021_06,16
2021_07,26
2021_08,19
2021_09,18
2021_10,26
2021_11,25
2021_12,23
2021_13,22
2021_14,27
2021_15,26
2021_16,16
2021_17,31
2021_18,19
2021_19,26
2021_20,22
2021_21,32
2021_22,23
2021_23,20
2021_24,31
2021_25,24
2021_26,19
2021_27,25
2021_28,32
2021_29,28
2021_30,22
2021_31,23
2021_32,28
2021_33,30
2021_34,27
2021_35,24
2021_36,34
2021_37,19
2021_38,36
2021_39,26
2021_40,28
2021_41,32
2021_42,37
2021_43,32
2021_44,32
2021_45,37
2021_46,33
2021_47,28
2021_48,37
2021_49,35
2021_50,26
2021_51,39
2021_52,11
2022_00,28
2022_01,29
2022_02,29
2022_03,42
2022_04,36
2022_05,40
2022_06,31
2022_07,44
2022_08,37
2022_09,29
2022_10,37
2022_11,39
2022_12,27
2022_13,33
2022_14,43
2022_15,28
2022_16,32
2022_17,53
2022_18,35
2022_19,30
2022_20,37
2022_21,28
2022_22,49
2022_23,40
2022_24,37
2022_25,41
2022_26,35
2022_27,54
2022_28,45
2022_29,38
2022_30,58
2022_31,41
2022_32,38
2022_33,49
2022_34,37
2022_35,41
2022_36,46
2022_37,35
2022_38,38
2022_39,40
2022_40,34
2022_41,45
2022_42,39
2022_43,50
2022_44,37
2022_45,46
2022_46,51
2022_47,41
2022_48,45
2022_49,38
2022_50,58
2022_51,55
2022_52,20
2023_00,42
2023_01,47
2023_02,52
2023_03,63
2023_04,51
2023_05,61
2023_06,48
2023_07,52
2023_08,41
2023_09,57
2023_10,71
2023_11,68
2023_12,59
2023_13,51
2023_14,56
2023_15,43
2023_16,61
2023_17,59
2023_18,65
2023_19,56
2023_20,61
2023_21,49
2023_22,57
2023_23,58
2023_24,49
2023_25,77
2023_26,50
2023_27,60
2023_28,47
2023_29,61
2023_30,61
2023_31,67
2023_32,62
2023_33,57
2023_34,54
2023_35,52
2023_36,67
2023_37,72
2023_38,60
2023_39,77
2023_40,68
2023_41,75
2023_42,44
2023_43,64
2023_44,73
2023_45,64
2023_46,67
2023_47,74
2023_48,86
2023_49,31
