year_week,count
2019_27,1
2019_31,1
2019_33,1
2019_36,1
2019_42,2
2019_44,1
2019_45,2
2019_46,1
2019_47,1
2019_48,1
2019_49,1
2020_00,2
2020_01,1
2020_03,1
2020_06,1
2020_07,1
2020_08,1
2020_09,1
2020_10,1
2020_12,2
2020_13,3
2020_15,1
2020_16,2
2020_17,2
2020_18,1
2020_19,3
2020_20,2
2020_21,1
2020_22,1
2020_25,3
2020_26,1
2020_28,4
2020_30,2
2020_31,2
2020_32,1
2020_34,2
2020_35,1
2020_36,1
2020_37,2
2020_38,2
2020_39,3
2020_40,2
2020_41,1
2020_42,2
2020_43,3
2020_44,3
2020_45,3
2020_46,2
2020_47,7
2020_48,2
2020_49,2
2020_50,3
2020_51,6
2021_00,3
2021_01,3
2021_02,4
2021_03,6
2021_04,3
2021_05,1
2021_06,2
2021_07,3
2021_08,3
2021_09,2
2021_10,4
2021_11,2
2021_12,4
2021_13,2
2021_14,2
2021_15,4
2021_16,2
2021_17,7
2021_18,3
2021_19,1
2021_20,1
2021_21,1
2021_23,4
2021_24,4
2021_25,5
2021_26,6
2021_27,1
2021_28,2
2021_29,1
2021_30,3
2021_31,1
2021_32,3
2021_33,10
2021_34,6
2021_36,4
2021_37,4
2021_38,3
2021_39,2
2021_40,4
2021_41,3
2021_42,7
2021_43,5
2021_44,1
2021_45,6
2021_46,4
2021_47,1
2021_48,5
2021_49,3
2021_50,4
2021_51,7
2021_52,3
2022_00,4
2022_01,6
2022_02,5
2022_03,4
2022_04,5
2022_05,10
2022_06,5
2022_07,5
2022_08,7
2022_09,4
2022_10,5
2022_11,5
2022_12,5
2022_13,5
2022_14,7
2022_15,5
2022_16,7
2022_17,5
2022_18,1
2022_19,4
2022_20,4
2022_21,6
2022_22,4
2022_23,6
2022_24,7
2022_25,5
2022_26,2
2022_27,6
2022_28,9
2022_29,6
2022_30,4
2022_31,11
2022_32,4
2022_33,7
2022_34,3
2022_35,6
2022_36,5
2022_37,4
2022_38,5
2022_39,8
2022_40,12
2022_41,5
2022_42,5
2022_43,7
2022_44,7
2022_45,8
2022_46,6
2022_47,6
2022_48,4
2022_49,5
2022_50,5
2022_51,2
2022_52,1
2023_00,1
2023_01,11
2023_02,9
2023_03,6
2023_04,10
2023_05,5
2023_06,5
2023_07,10
2023_08,7
2023_09,7
2023_10,5
2023_11,4
2023_12,10
2023_13,9
2023_14,5
2023_15,10
2023_16,5
2023_17,7
2023_18,3
2023_19,8
2023_20,4
2023_21,9
2023_22,3
2023_23,4
2023_24,8
2023_25,5
2023_26,8
2023_27,14
2023_28,9
2023_29,7
2023_30,4
2023_31,9
2023_32,11
2023_33,8
2023_34,11
2023_35,8
2023_36,3
2023_37,6
2023_38,7
2023_39,12
2023_40,6
2023_41,9
2023_42,14
2023_43,12
2023_44,4
2023_45,10
2023_46,8
2023_47,12
2023_48,4
2023_49,6
