year_week,count
2019_28,1
2019_29,1
2019_30,1
2019_31,2
2019_32,2
2019_33,4
2019_34,4
2019_35,1
2019_36,4
2019_37,3
2019_38,4
2019_39,7
2019_40,9
2019_41,8
2019_42,6
2019_43,5
2019_44,5
2019_45,9
2019_46,5
2019_47,9
2019_48,14
2019_49,15
2019_50,9
2019_51,8
2019_52,4
2020_00,7
2020_01,14
2020_02,12
2020_03,23
2020_04,14
2020_05,14
2020_06,21
2020_07,24
2020_08,12
2020_09,18
2020_10,26
2020_11,20
2020_12,24
2020_13,23
2020_14,23
2020_15,14
2020_16,18
2020_17,22
2020_18,23
2020_19,25
2020_20,27
2020_21,21
2020_22,16
2020_23,43
2020_24,22
2020_25,28
2020_26,23
2020_27,35
2020_28,35
2020_29,20
2020_30,28
2020_31,23
2020_32,28
2020_33,29
2020_34,29
2020_35,33
2020_36,40
2020_37,35
2020_38,43
2020_39,43
2020_40,30
2020_41,39
2020_42,43
2020_43,35
2020_44,39
2020_45,28
2020_46,36
2020_47,32
2020_48,42
2020_49,38
2020_50,40
2020_51,36
2020_52,16
2021_00,38
2021_01,42
2021_02,32
2021_03,42
2021_04,53
2021_05,46
2021_06,38
2021_07,54
2021_08,46
2021_09,37
2021_10,50
2021_11,63
2021_12,54
2021_13,41
2021_14,47
2021_15,42
2021_16,54
2021_17,56
2021_18,56
2021_19,60
2021_20,66
2021_21,62
2021_22,51
2021_23,55
2021_24,56
2021_25,56
2021_26,55
2021_27,57
2021_28,52
2021_29,73
2021_30,60
2021_31,55
2021_32,58
2021_33,59
2021_34,60
2021_35,55
2021_36,46
2021_37,62
2021_38,70
2021_39,66
2021_40,52
2021_41,59
2021_42,80
2021_43,68
2021_44,60
2021_45,72
2021_46,66
2021_47,64
2021_48,53
2021_49,78
2021_50,63
2021_51,65
2021_52,11
2022_00,58
2022_01,71
2022_02,73
2022_03,78
2022_04,75
2022_05,67
2022_06,73
2022_07,76
2022_08,62
2022_09,65
2022_10,79
2022_11,95
2022_12,82
2022_13,67
2022_14,72
2022_15,68
2022_16,61
2022_17,75
2022_18,88
2022_19,83
2022_20,91
2022_21,73
2022_22,80
2022_23,67
2022_24,71
2022_25,89
2022_26,74
2022_27,89
2022_28,68
2022_29,74
2022_30,68
2022_31,83
2022_32,65
2022_33,76
2022_34,72
2022_35,90
2022_36,88
2022_37,84
2022_38,79
2022_39,80
2022_40,87
2022_41,90
2022_42,114
2022_43,97
2022_44,98
2022_45,103
2022_46,97
2022_47,100
2022_48,97
2022_49,99
2022_50,81
2022_51,95
2022_52,32
2023_00,68
2023_01,95
2023_02,99
2023_03,97
2023_04,121
2023_05,107
2023_06,88
2023_07,102
2023_08,99
2023_09,98
2023_10,100
2023_11,102
2023_12,105
2023_13,106
2023_14,101
2023_15,93
2023_16,99
2023_17,108
2023_18,98
2023_19,92
2023_20,107
2023_21,103
2023_22,107
2023_23,111
2023_24,119
2023_25,115
2023_26,104
2023_27,129
2023_28,105
2023_29,135
2023_30,126
2023_31,98
2023_32,105
2023_33,115
2023_34,117
2023_35,93
2023_36,109
2023_37,120
2023_38,118
2023_39,145
2023_40,131
2023_41,139
2023_42,108
2023_43,134
2023_44,130
2023_45,143
2023_46,112
2023_47,124
2023_48,118
2023_49,45
