year_week,count
2019_28,1
2019_30,5
2019_31,2
2019_33,1
2019_34,5
2019_35,10
2019_36,4
2019_37,6
2019_38,9
2019_39,13
2019_40,14
2019_41,12
2019_42,12
2019_43,12
2019_44,15
2019_45,8
2019_46,13
2019_47,10
2019_48,7
2019_49,12
2019_50,12
2019_51,11
2019_52,5
2020_00,16
2020_01,20
2020_02,24
2020_03,33
2020_04,24
2020_05,31
2020_06,13
2020_07,25
2020_08,22
2020_09,29
2020_10,24
2020_11,24
2020_12,38
2020_13,39
2020_14,31
2020_15,36
2020_16,26
2020_17,33
2020_18,33
2020_19,38
2020_20,37
2020_21,29
2020_22,34
2020_23,31
2020_24,42
2020_25,30
2020_26,33
2020_27,35
2020_28,34
2020_29,41
2020_30,38
2020_31,48
2020_32,54
2020_33,33
2020_34,45
2020_35,43
2020_36,46
2020_37,56
2020_38,44
2020_39,51
2020_40,44
2020_41,56
2020_42,45
2020_43,62
2020_44,52
2020_45,67
2020_46,64
2020_47,51
2020_48,57
2020_49,46
2020_50,55
2020_51,60
2020_52,13
2021_00,40
2021_01,56
2021_02,57
2021_03,55
2021_04,77
2021_05,56
2021_06,47
2021_07,63
2021_08,50
2021_09,58
2021_10,58
2021_11,85
2021_12,53
2021_13,72
2021_14,74
2021_15,66
2021_16,55
2021_17,68
2021_18,60
2021_19,84
2021_20,69
2021_21,76
2021_22,71
2021_23,78
2021_24,88
2021_25,62
2021_26,83
2021_27,64
2021_28,71
2021_29,86
2021_30,77
2021_31,66
2021_32,94
2021_33,73
2021_34,89
2021_35,86
2021_36,80
2021_37,69
2021_38,76
2021_39,81
2021_40,79
2021_41,82
2021_42,89
2021_43,83
2021_44,97
2021_45,78
2021_46,92
2021_47,101
2021_48,96
2021_49,80
2021_50,105
2021_51,74
2021_52,17
2022_00,82
2022_01,87
2022_02,97
2022_03,94
2022_04,84
2022_05,88
2022_06,94
2022_07,122
2022_08,114
2022_09,108
2022_10,107
2022_11,132
2022_12,136
2022_13,106
2022_14,105
2022_15,84
2022_16,100
2022_17,95
2022_18,121
2022_19,132
2022_20,105
2022_21,107
2022_22,116
2022_23,119
2022_24,139
2022_25,102
2022_26,115
2022_27,117
2022_28,119
2022_29,118
2022_30,127
2022_31,113
2022_32,138
2022_33,111
2022_34,140
2022_35,118
2022_36,122
2022_37,111
2022_38,121
2022_39,110
2022_40,121
2022_41,133
2022_42,147
2022_43,127
2022_44,120
2022_45,126
2022_46,139
2022_47,142
2022_48,137
2022_49,150
2022_50,109
2022_51,118
2022_52,36
2023_00,139
2023_01,140
2023_02,138
2023_03,142
2023_04,149
2023_05,151
2023_06,155
2023_07,167
2023_08,149
2023_09,150
2023_10,168
2023_11,165
2023_12,141
2023_13,153
2023_14,190
2023_15,179
2023_16,155
2023_17,131
2023_18,171
2023_19,151
2023_20,167
2023_21,166
2023_22,167
2023_23,164
2023_24,146
2023_25,154
2023_26,167
2023_27,180
2023_28,175
2023_29,181
2023_30,215
2023_31,156
2023_32,166
2023_33,188
2023_34,166
2023_35,168
2023_36,187
2023_37,188
2023_38,185
2023_39,170
2023_40,136
2023_41,185
2023_42,166
2023_43,169
2023_44,179
2023_45,210
2023_46,179
2023_47,177
2023_48,195
2023_49,82
