year_week,count
2019_28,1
2019_30,3
2019_31,2
2019_32,5
2019_33,2
2019_34,4
2019_35,7
2019_36,8
2019_37,5
2019_38,7
2019_39,6
2019_40,9
2019_41,9
2019_42,16
2019_43,14
2019_44,13
2019_45,11
2019_46,8
2019_47,15
2019_48,12
2019_49,19
2019_50,14
2019_51,11
2019_52,2
2020_00,10
2020_01,14
2020_02,23
2020_03,15
2020_04,19
2020_05,18
2020_06,19
2020_07,11
2020_08,19
2020_09,30
2020_10,22
2020_11,20
2020_12,27
2020_13,23
2020_14,20
2020_15,30
2020_16,23
2020_17,18
2020_18,29
2020_19,25
2020_20,29
2020_21,36
2020_22,40
2020_23,27
2020_24,32
2020_25,32
2020_26,30
2020_27,21
2020_28,27
2020_29,34
2020_30,24
2020_31,27
2020_32,30
2020_33,25
2020_34,34
2020_35,36
2020_36,34
2020_37,29
2020_38,35
2020_39,28
2020_40,33
2020_41,33
2020_42,30
2020_43,34
2020_44,30
2020_45,34
2020_46,50
2020_47,50
2020_48,47
2020_49,40
2020_50,21
2020_51,51
2020_52,8
2021_00,38
2021_01,55
2021_02,50
2021_03,28
2021_04,31
2021_05,39
2021_06,45
2021_07,49
2021_08,53
2021_09,46
2021_10,49
2021_11,44
2021_12,50
2021_13,49
2021_14,49
2021_15,59
2021_16,72
2021_17,51
2021_18,57
2021_19,51
2021_20,39
2021_21,50
2021_22,54
2021_23,41
2021_24,49
2021_25,51
2021_26,67
2021_27,75
2021_28,44
2021_29,56
2021_30,68
2021_31,81
2021_32,73
2021_33,61
2021_34,69
2021_35,68
2021_36,78
2021_37,70
2021_38,66
2021_39,60
2021_40,62
2021_41,60
2021_42,57
2021_43,69
2021_44,59
2021_45,58
2021_46,66
2021_47,67
2021_48,61
2021_49,75
2021_50,83
2021_51,84
2021_52,8
2022_00,59
2022_01,75
2022_02,59
2022_03,70
2022_04,80
2022_05,76
2022_06,81
2022_07,72
2022_08,82
2022_09,71
2022_10,78
2022_11,80
2022_12,82
2022_13,97
2022_14,87
2022_15,69
2022_16,90
2022_17,88
2022_18,79
2022_19,73
2022_20,105
2022_21,94
2022_22,104
2022_23,102
2022_24,81
2022_25,91
2022_26,79
2022_27,110
2022_28,88
2022_29,95
2022_30,76
2022_31,98
2022_32,92
2022_33,97
2022_34,113
2022_35,83
2022_36,96
2022_37,95
2022_38,94
2022_39,85
2022_40,99
2022_41,120
2022_42,97
2022_43,95
2022_44,100
2022_45,111
2022_46,83
2022_47,92
2022_48,103
2022_49,109
2022_50,99
2022_51,100
2022_52,23
2023_00,61
2023_01,105
2023_02,101
2023_03,134
2023_04,124
2023_05,102
2023_06,117
2023_07,135
2023_08,124
2023_09,121
2023_10,116
2023_11,103
2023_12,124
2023_13,110
2023_14,115
2023_15,113
2023_16,106
2023_17,108
2023_18,98
2023_19,130
2023_20,122
2023_21,116
2023_22,127
2023_23,122
2023_24,111
2023_25,121
2023_26,128
2023_27,125
2023_28,125
2023_29,129
2023_30,127
2023_31,149
2023_32,118
2023_33,102
2023_34,137
2023_35,126
2023_36,134
2023_37,130
2023_38,161
2023_39,140
2023_40,150
2023_41,122
2023_42,149
2023_43,152
2023_44,162
2023_45,141
2023_46,139
2023_47,133
2023_48,170
2023_49,57
