year_week,count
2019_38,1
2019_42,2
2019_45,1
2019_46,1
2019_48,1
2019_49,2
2019_51,2
2020_00,2
2020_01,1
2020_05,1
2020_06,1
2020_07,2
2020_08,1
2020_09,2
2020_10,1
2020_11,1
2020_12,3
2020_13,1
2020_15,1
2020_19,3
2020_20,1
2020_21,4
2020_22,2
2020_23,1
2020_24,2
2020_25,2
2020_26,1
2020_27,1
2020_28,2
2020_29,4
2020_30,3
2020_31,2
2020_32,2
2020_33,4
2020_34,2
2020_35,1
2020_36,3
2020_37,1
2020_38,1
2020_39,2
2020_41,5
2020_42,4
2020_43,4
2020_44,1
2020_45,3
2020_46,5
2020_47,5
2020_48,1
2020_49,4
2020_50,2
2020_51,4
2020_52,1
2021_00,4
2021_01,1
2021_02,1
2021_03,2
2021_04,4
2021_05,4
2021_06,3
2021_07,2
2021_08,3
2021_09,1
2021_10,1
2021_11,6
2021_12,5
2021_13,4
2021_14,4
2021_15,7
2021_16,3
2021_17,5
2021_18,2
2021_19,2
2021_20,4
2021_21,4
2021_22,3
2021_23,5
2021_24,3
2021_25,3
2021_26,3
2021_27,7
2021_28,3
2021_29,2
2021_30,4
2021_31,3
2021_32,2
2021_33,4
2021_34,4
2021_35,6
2021_36,4
2021_37,2
2021_38,1
2021_39,5
2021_40,6
2021_41,8
2021_42,4
2021_43,3
2021_44,4
2021_45,5
2021_46,7
2021_47,5
2021_48,3
2021_49,6
2021_50,4
2021_51,6
2022_00,4
2022_01,3
2022_02,4
2022_03,6
2022_04,3
2022_05,3
2022_06,3
2022_07,7
2022_08,4
2022_09,6
2022_10,8
2022_11,3
2022_12,4
2022_13,3
2022_14,5
2022_15,6
2022_16,7
2022_17,10
2022_18,5
2022_19,5
2022_20,4
2022_21,10
2022_22,11
2022_23,4
2022_24,6
2022_25,7
2022_26,8
2022_27,4
2022_28,6
2022_29,5
2022_30,5
2022_31,8
2022_32,8
2022_33,10
2022_34,5
2022_35,7
2022_37,7
2022_38,6
2022_39,8
2022_40,7
2022_41,9
2022_42,7
2022_43,7
2022_44,6
2022_45,8
2022_46,8
2022_47,10
2022_48,10
2022_49,5
2022_50,4
2022_51,9
2022_52,3
2023_00,3
2023_01,9
2023_02,9
2023_03,7
2023_04,9
2023_05,9
2023_06,6
2023_07,13
2023_08,11
2023_09,8
2023_10,5
2023_11,6
2023_12,5
2023_13,8
2023_14,4
2023_15,12
2023_16,7
2023_17,7
2023_18,7
2023_19,5
2023_20,7
2023_21,9
2023_22,6
2023_23,9
2023_24,9
2023_25,11
2023_26,5
2023_27,13
2023_28,4
2023_29,15
2023_30,14
2023_31,9
2023_32,7
2023_33,9
2023_34,10
2023_35,2
2023_36,3
2023_37,11
2023_38,13
2023_39,6
2023_40,4
2023_41,13
2023_42,6
2023_43,13
2023_44,9
2023_45,7
2023_46,7
2023_47,7
2023_48,6
2023_49,4
