year_week,count
2019_28,1
2019_29,2
2019_30,2
2019_31,1
2019_32,2
2019_33,4
2019_34,3
2019_35,8
2019_36,8
2019_37,10
2019_38,7
2019_39,6
2019_40,19
2019_41,8
2019_42,9
2019_43,10
2019_44,13
2019_45,19
2019_46,8
2019_47,16
2019_48,17
2019_49,15
2019_50,20
2019_51,19
2019_52,5
2020_00,12
2020_01,23
2020_02,24
2020_03,27
2020_04,22
2020_05,23
2020_06,29
2020_07,32
2020_08,22
2020_09,24
2020_10,22
2020_11,31
2020_12,38
2020_13,30
2020_14,29
2020_15,34
2020_16,35
2020_17,23
2020_18,30
2020_19,32
2020_20,39
2020_21,39
2020_22,33
2020_23,36
2020_24,44
2020_25,34
2020_26,40
2020_27,41
2020_28,56
2020_29,42
2020_30,37
2020_31,45
2020_32,52
2020_33,48
2020_34,49
2020_35,42
2020_36,48
2020_37,40
2020_38,37
2020_39,45
2020_40,66
2020_41,61
2020_42,36
2020_43,39
2020_44,46
2020_45,58
2020_46,50
2020_47,48
2020_48,56
2020_49,55
2020_50,62
2020_51,64
2020_52,13
2021_00,40
2021_01,61
2021_02,77
2021_03,60
2021_04,71
2021_05,51
2021_06,64
2021_07,63
2021_08,58
2021_09,58
2021_10,67
2021_11,90
2021_12,69
2021_13,63
2021_14,54
2021_15,80
2021_16,64
2021_17,66
2021_18,67
2021_19,89
2021_20,62
2021_21,75
2021_22,86
2021_23,68
2021_24,75
2021_25,71
2021_26,93
2021_27,75
2021_28,68
2021_29,78
2021_30,93
2021_31,69
2021_32,67
2021_33,79
2021_34,73
2021_35,90
2021_36,81
2021_37,80
2021_38,106
2021_39,90
2021_40,90
2021_41,83
2021_42,82
2021_43,97
2021_44,78
2021_45,79
2021_46,81
2021_47,111
2021_48,100
2021_49,82
2021_50,91
2021_51,99
2021_52,28
2022_00,79
2022_01,100
2022_02,105
2022_03,104
2022_04,78
2022_05,103
2022_06,110
2022_07,92
2022_08,97
2022_09,118
2022_10,92
2022_11,123
2022_12,116
2022_13,100
2022_14,102
2022_15,125
2022_16,82
2022_17,113
2022_18,128
2022_19,118
2022_20,107
2022_21,108
2022_22,114
2022_23,121
2022_24,106
2022_25,109
2022_26,108
2022_27,112
2022_28,120
2022_29,101
2022_30,148
2022_31,121
2022_32,125
2022_33,120
2022_34,128
2022_35,103
2022_36,117
2022_37,131
2022_38,111
2022_39,131
2022_40,107
2022_41,121
2022_42,146
2022_43,135
2022_44,127
2022_45,130
2022_46,121
2022_47,140
2022_48,153
2022_49,130
2022_50,116
2022_51,138
2022_52,53
2023_00,119
2023_01,134
2023_02,135
2023_03,159
2023_04,142
2023_05,131
2023_06,135
2023_07,154
2023_08,154
2023_09,152
2023_10,139
2023_11,143
2023_12,182
2023_13,156
2023_14,165
2023_15,150
2023_16,159
2023_17,131
2023_18,147
2023_19,167
2023_20,143
2023_21,150
2023_22,160
2023_23,165
2023_24,157
2023_25,177
2023_26,172
2023_27,160
2023_28,184
2023_29,165
2023_30,157
2023_31,151
2023_32,176
2023_33,179
2023_34,140
2023_35,177
2023_36,147
2023_37,169
2023_38,168
2023_39,171
2023_40,177
2023_41,181
2023_42,157
2023_43,167
2023_44,193
2023_45,189
2023_46,205
2023_47,174
2023_48,177
2023_49,83
