year_week,count
2019_28,1
2019_29,1
2019_30,7
2019_31,2
2019_33,2
2019_34,5
2019_35,2
2019_36,8
2019_37,3
2019_38,5
2019_39,7
2019_40,9
2019_41,16
2019_42,13
2019_43,9
2019_44,14
2019_45,12
2019_46,12
2019_47,11
2019_48,12
2019_49,20
2019_50,15
2019_51,15
2019_52,3
2020_00,16
2020_01,10
2020_02,23
2020_03,15
2020_04,16
2020_05,12
2020_06,16
2020_07,24
2020_08,21
2020_09,24
2020_10,19
2020_11,21
2020_12,32
2020_13,26
2020_14,30
2020_15,25
2020_16,19
2020_17,22
2020_18,23
2020_19,27
2020_20,37
2020_21,39
2020_22,33
2020_23,32
2020_24,29
2020_25,23
2020_26,25
2020_27,31
2020_28,26
2020_29,33
2020_30,26
2020_31,35
2020_32,50
2020_33,32
2020_34,39
2020_35,38
2020_36,32
2020_37,39
2020_38,35
2020_39,29
2020_40,32
2020_41,36
2020_42,35
2020_43,40
2020_44,37
2020_45,42
2020_46,38
2020_47,44
2020_48,40
2020_49,47
2020_50,27
2020_51,47
2020_52,13
2021_00,36
2021_01,42
2021_02,40
2021_03,41
2021_04,46
2021_05,43
2021_06,43
2021_07,37
2021_08,52
2021_09,44
2021_10,44
2021_11,54
2021_12,54
2021_13,51
2021_14,55
2021_15,58
2021_16,54
2021_17,55
2021_18,42
2021_19,40
2021_20,42
2021_21,43
2021_22,54
2021_23,47
2021_24,54
2021_25,55
2021_26,68
2021_27,46
2021_28,44
2021_29,53
2021_30,51
2021_31,40
2021_32,68
2021_33,59
2021_34,77
2021_35,44
2021_36,56
2021_37,52
2021_38,73
2021_39,52
2021_40,59
2021_41,79
2021_42,53
2021_43,84
2021_44,71
2021_45,70
2021_46,66
2021_47,82
2021_48,69
2021_49,77
2021_50,86
2021_51,75
2021_52,13
2022_00,69
2022_01,89
2022_02,70
2022_03,80
2022_04,76
2022_05,64
2022_06,97
2022_07,65
2022_08,92
2022_09,84
2022_10,82
2022_11,81
2022_12,93
2022_13,84
2022_14,78
2022_15,87
2022_16,78
2022_17,78
2022_18,85
2022_19,86
2022_20,86
2022_21,70
2022_22,102
2022_23,93
2022_24,92
2022_25,103
2022_26,86
2022_27,117
2022_28,76
2022_29,92
2022_30,88
2022_31,90
2022_32,100
2022_33,80
2022_34,87
2022_35,79
2022_36,82
2022_37,108
2022_38,97
2022_39,106
2022_40,94
2022_41,105
2022_42,114
2022_43,103
2022_44,100
2022_45,122
2022_46,132
2022_47,111
2022_48,102
2022_49,92
2022_50,105
2022_51,112
2022_52,25
2023_00,90
2023_01,122
2023_02,117
2023_03,117
2023_04,94
2023_05,123
2023_06,116
2023_07,114
2023_08,128
2023_09,113
2023_10,128
2023_11,122
2023_12,122
2023_13,118
2023_14,121
2023_15,101
2023_16,116
2023_17,112
2023_18,136
2023_19,115
2023_20,125
2023_21,145
2023_22,118
2023_23,134
2023_24,109
2023_25,130
2023_26,125
2023_27,118
2023_28,118
2023_29,122
2023_30,138
2023_31,126
2023_32,115
2023_33,136
2023_34,136
2023_35,112
2023_36,124
2023_37,136
2023_38,128
2023_39,151
2023_40,131
2023_41,128
2023_42,123
2023_43,124
2023_44,132
2023_45,145
2023_46,146
2023_47,130
2023_48,140
2023_49,63
