year_week,count
2019_28,1
2019_30,1
2019_33,1
2019_34,3
2019_35,4
2019_36,4
2019_37,1
2019_38,3
2019_39,3
2019_40,4
2019_41,3
2019_42,5
2019_43,6
2019_44,5
2019_45,6
2019_46,3
2019_47,7
2019_48,7
2019_49,7
2019_50,5
2019_51,4
2019_52,1
2020_00,11
2020_01,9
2020_02,10
2020_03,6
2020_04,7
2020_05,9
2020_06,13
2020_07,14
2020_08,15
2020_09,15
2020_10,20
2020_11,13
2020_12,11
2020_13,10
2020_14,15
2020_15,13
2020_16,7
2020_17,9
2020_18,10
2020_19,16
2020_20,19
2020_21,17
2020_22,13
2020_23,12
2020_24,17
2020_25,11
2020_26,11
2020_27,27
2020_28,18
2020_29,22
2020_30,19
2020_31,20
2020_32,18
2020_33,21
2020_34,23
2020_35,17
2020_36,26
2020_37,15
2020_38,21
2020_39,21
2020_40,24
2020_41,16
2020_42,25
2020_43,15
2020_44,15
2020_45,33
2020_46,26
2020_47,25
2020_48,24
2020_49,28
2020_50,23
2020_51,32
2020_52,5
2021_00,24
2021_01,35
2021_02,33
2021_03,32
2021_04,31
2021_05,27
2021_06,23
2021_07,27
2021_08,35
2021_09,30
2021_10,30
2021_11,44
2021_12,35
2021_13,25
2021_14,35
2021_15,31
2021_16,36
2021_17,41
2021_18,25
2021_19,36
2021_20,41
2021_21,30
2021_22,30
2021_23,45
2021_24,31
2021_25,34
2021_26,40
2021_27,29
2021_28,36
2021_29,28
2021_30,44
2021_31,35
2021_32,37
2021_33,42
2021_34,44
2021_35,31
2021_36,39
2021_37,42
2021_38,47
2021_39,29
2021_40,42
2021_41,50
2021_42,34
2021_43,46
2021_44,43
2021_45,53
2021_46,29
2021_47,43
2021_48,43
2021_49,44
2021_50,47
2021_51,47
2021_52,21
2022_00,48
2022_01,45
2022_02,38
2022_03,58
2022_04,48
2022_05,46
2022_06,40
2022_07,48
2022_08,38
2022_09,56
2022_10,51
2022_11,48
2022_12,44
2022_13,59
2022_14,30
2022_15,46
2022_16,43
2022_17,46
2022_18,50
2022_19,45
2022_20,72
2022_21,49
2022_22,52
2022_23,53
2022_24,64
2022_25,56
2022_26,54
2022_27,56
2022_28,58
2022_29,64
2022_30,51
2022_31,39
2022_32,60
2022_33,60
2022_34,53
2022_35,53
2022_36,65
2022_37,64
2022_38,59
2022_39,59
2022_40,55
2022_41,56
2022_42,62
2022_43,64
2022_44,65
2022_45,55
2022_46,66
2022_47,65
2022_48,58
2022_49,68
2022_50,84
2022_51,63
2022_52,22
2023_00,50
2023_01,69
2023_02,54
2023_03,50
2023_04,62
2023_05,69
2023_06,69
2023_07,69
2023_08,68
2023_09,84
2023_10,62
2023_11,71
2023_12,57
2023_13,75
2023_14,77
2023_15,60
2023_16,64
2023_17,54
2023_18,64
2023_19,71
2023_20,78
2023_21,66
2023_22,77
2023_23,84
2023_24,82
2023_25,80
2023_26,58
2023_27,74
2023_28,80
2023_29,85
2023_30,80
2023_31,92
2023_32,68
2023_33,87
2023_34,79
2023_35,70
2023_36,85
2023_37,85
2023_38,102
2023_39,80
2023_40,72
2023_41,78
2023_42,82
2023_43,95
2023_44,87
2023_45,80
2023_46,83
2023_47,99
2023_48,88
2023_49,39
