year_week,count
2019_30,1
2019_31,2
2019_34,2
2019_35,4
2019_37,1
2019_38,1
2019_40,3
2019_41,5
2019_42,5
2019_43,3
2019_44,1
2019_45,3
2019_46,5
2019_47,2
2019_49,4
2019_50,5
2019_51,5
2019_52,2
2020_00,7
2020_01,7
2020_02,8
2020_03,5
2020_04,1
2020_05,8
2020_06,5
2020_07,4
2020_08,7
2020_09,6
2020_10,5
2020_11,6
2020_12,10
2020_13,10
2020_14,9
2020_15,8
2020_16,9
2020_17,5
2020_18,6
2020_19,8
2020_20,12
2020_21,13
2020_22,7
2020_23,11
2020_24,7
2020_25,7
2020_26,8
2020_27,10
2020_28,10
2020_29,7
2020_30,9
2020_31,8
2020_32,11
2020_33,11
2020_34,6
2020_35,10
2020_36,9
2020_37,10
2020_38,10
2020_39,11
2020_40,3
2020_41,8
2020_42,12
2020_43,12
2020_44,14
2020_45,12
2020_46,23
2020_47,11
2020_48,14
2020_49,6
2020_50,8
2020_51,18
2020_52,2
2021_00,12
2021_01,19
2021_02,14
2021_03,14
2021_04,14
2021_05,18
2021_06,14
2021_07,15
2021_08,13
2021_09,19
2021_10,10
2021_11,13
2021_12,15
2021_13,9
2021_14,25
2021_15,18
2021_16,24
2021_17,11
2021_18,16
2021_19,25
2021_20,15
2021_21,23
2021_22,21
2021_23,19
2021_24,16
2021_25,18
2021_26,21
2021_27,16
2021_28,22
2021_29,19
2021_30,24
2021_31,20
2021_32,16
2021_33,18
2021_34,17
2021_35,19
2021_36,24
2021_37,23
2021_38,19
2021_39,20
2021_40,20
2021_41,23
2021_42,20
2021_43,26
2021_44,15
2021_45,20
2021_46,25
2021_47,19
2021_48,25
2021_49,23
2021_50,25
2021_51,34
2021_52,7
2022_00,26
2022_01,18
2022_02,23
2022_03,23
2022_04,24
2022_05,18
2022_06,12
2022_07,23
2022_08,27
2022_09,32
2022_10,24
2022_11,15
2022_12,36
2022_13,23
2022_14,17
2022_15,24
2022_16,22
2022_17,38
2022_18,21
2022_19,28
2022_20,35
2022_21,29
2022_22,28
2022_23,38
2022_24,30
2022_25,24
2022_26,32
2022_27,33
2022_28,29
2022_29,22
2022_30,19
2022_31,32
2022_32,35
2022_33,30
2022_34,32
2022_35,34
2022_36,20
2022_37,23
2022_38,22
2022_39,34
2022_40,28
2022_41,30
2022_42,40
2022_43,26
2022_44,24
2022_45,49
2022_46,30
2022_47,32
2022_48,30
2022_49,40
2022_50,32
2022_51,37
2022_52,6
2023_00,12
2023_01,45
2023_02,37
2023_03,31
2023_04,41
2023_05,33
2023_06,29
2023_07,40
2023_08,30
2023_09,36
2023_10,33
2023_11,43
2023_12,31
2023_13,31
2023_14,41
2023_15,49
2023_16,37
2023_17,28
2023_18,32
2023_19,35
2023_20,42
2023_21,40
2023_22,25
2023_23,41
2023_24,52
2023_25,35
2023_26,34
2023_27,48
2023_28,48
2023_29,38
2023_30,47
2023_31,42
2023_32,38
2023_33,43
2023_34,35
2023_35,49
2023_36,40
2023_37,46
2023_38,46
2023_39,37
2023_40,38
2023_41,44
2023_42,36
2023_43,41
2023_44,41
2023_45,32
2023_46,45
2023_47,46
2023_48,43
2023_49,17
