year_week,count
2019_31,1
2019_35,1
2019_36,1
2019_37,3
2019_38,3
2019_39,1
2019_40,3
2019_41,1
2019_42,3
2019_43,3
2019_44,3
2019_45,4
2019_46,4
2019_47,9
2019_48,6
2019_49,5
2019_50,8
2019_51,8
2019_52,1
2020_00,3
2020_01,11
2020_02,5
2020_03,10
2020_04,4
2020_05,6
2020_06,6
2020_07,9
2020_08,7
2020_09,13
2020_10,7
2020_11,14
2020_12,12
2020_13,3
2020_14,7
2020_15,12
2020_16,13
2020_17,9
2020_18,8
2020_19,18
2020_20,13
2020_21,9
2020_22,13
2020_23,10
2020_24,18
2020_25,17
2020_26,11
2020_27,12
2020_28,12
2020_29,12
2020_30,14
2020_31,14
2020_32,13
2020_33,14
2020_34,11
2020_35,16
2020_36,13
2020_37,15
2020_38,17
2020_39,15
2020_40,16
2020_41,24
2020_42,16
2020_43,11
2020_44,27
2020_45,28
2020_46,20
2020_47,20
2020_48,14
2020_49,23
2020_50,19
2020_51,17
2020_52,1
2021_00,20
2021_01,18
2021_02,12
2021_03,13
2021_04,24
2021_05,23
2021_06,25
2021_07,25
2021_08,17
2021_09,20
2021_10,29
2021_11,20
2021_12,23
2021_13,18
2021_14,26
2021_15,27
2021_16,17
2021_17,20
2021_18,14
2021_19,28
2021_20,26
2021_21,27
2021_22,26
2021_23,27
2021_24,24
2021_25,28
2021_26,20
2021_27,23
2021_28,26
2021_29,31
2021_30,28
2021_31,19
2021_32,33
2021_33,36
2021_34,27
2021_35,33
2021_36,23
2021_37,32
2021_38,23
2021_39,35
2021_40,33
2021_41,41
2021_42,36
2021_43,39
2021_44,44
2021_45,32
2021_46,26
2021_47,33
2021_48,24
2021_49,41
2021_50,34
2021_51,34
2021_52,12
2022_00,32
2022_01,28
2022_02,29
2022_03,29
2022_04,26
2022_05,28
2022_06,22
2022_07,38
2022_08,30
2022_09,28
2022_10,36
2022_11,48
2022_12,32
2022_13,35
2022_14,40
2022_15,28
2022_16,38
2022_17,39
2022_18,46
2022_19,33
2022_20,40
2022_21,35
2022_22,33
2022_23,45
2022_24,44
2022_25,36
2022_26,43
2022_27,40
2022_28,43
2022_29,38
2022_30,42
2022_31,39
2022_32,40
2022_33,36
2022_34,49
2022_35,39
2022_36,44
2022_37,47
2022_38,29
2022_39,45
2022_40,36
2022_41,44
2022_42,40
2022_43,36
2022_44,43
2022_45,46
2022_46,48
2022_47,39
2022_48,41
2022_49,46
2022_50,47
2022_51,40
2022_52,14
2023_00,44
2023_01,53
2023_02,38
2023_03,65
2023_04,43
2023_05,56
2023_06,53
2023_07,46
2023_08,57
2023_09,59
2023_10,54
2023_11,46
2023_12,58
2023_13,45
2023_14,50
2023_15,48
2023_16,47
2023_17,58
2023_18,47
2023_19,68
2023_20,48
2023_21,54
2023_22,55
2023_23,61
2023_24,52
2023_25,58
2023_26,61
2023_27,60
2023_28,55
2023_29,64
2023_30,56
2023_31,50
2023_32,58
2023_33,52
2023_34,56
2023_35,55
2023_36,66
2023_37,59
2023_38,71
2023_39,68
2023_40,46
2023_41,69
2023_42,56
2023_43,59
2023_44,69
2023_45,67
2023_46,59
2023_47,75
2023_48,65
2023_49,37
