year_week,count
2019_30,1
2019_38,2
2019_39,1
2019_41,1
2019_44,2
2019_45,2
2019_47,1
2019_48,2
2019_50,4
2020_00,2
2020_01,1
2020_02,1
2020_03,2
2020_06,2
2020_07,1
2020_08,1
2020_12,1
2020_14,1
2020_15,2
2020_16,2
2020_17,2
2020_20,1
2020_21,2
2020_22,4
2020_23,4
2020_25,2
2020_26,1
2020_27,1
2020_28,2
2020_29,1
2020_30,1
2020_32,1
2020_34,4
2020_35,3
2020_36,3
2020_37,5
2020_38,2
2020_39,1
2020_40,2
2020_41,2
2020_43,2
2020_44,3
2020_45,5
2020_46,2
2020_47,1
2020_48,5
2020_49,2
2020_50,2
2020_51,2
2020_52,1
2021_00,3
2021_01,5
2021_02,2
2021_03,4
2021_04,4
2021_05,4
2021_06,2
2021_07,3
2021_08,2
2021_09,2
2021_10,5
2021_11,4
2021_12,5
2021_13,1
2021_14,1
2021_15,6
2021_16,1
2021_18,2
2021_19,2
2021_20,2
2021_22,3
2021_23,5
2021_24,3
2021_25,2
2021_26,3
2021_27,2
2021_28,1
2021_29,4
2021_30,5
2021_31,4
2021_32,4
2021_33,6
2021_34,3
2021_35,10
2021_36,5
2021_37,3
2021_38,1
2021_39,2
2021_40,4
2021_41,3
2021_42,6
2021_43,4
2021_44,5
2021_45,4
2021_46,5
2021_47,6
2021_48,3
2021_49,4
2021_50,5
2021_51,2
2021_52,1
2022_00,3
2022_01,3
2022_02,5
2022_03,4
2022_04,4
2022_05,6
2022_06,3
2022_07,9
2022_08,4
2022_09,3
2022_10,7
2022_11,5
2022_12,6
2022_13,4
2022_14,6
2022_15,7
2022_16,3
2022_17,4
2022_18,7
2022_19,6
2022_20,3
2022_21,4
2022_22,6
2022_23,9
2022_24,6
2022_25,4
2022_26,8
2022_27,5
2022_28,10
2022_29,4
2022_30,10
2022_31,8
2022_32,8
2022_33,8
2022_34,2
2022_35,4
2022_36,9
2022_37,5
2022_38,9
2022_39,7
2022_40,9
2022_41,4
2022_42,8
2022_43,6
2022_44,9
2022_45,6
2022_46,8
2022_47,1
2022_48,6
2022_49,7
2022_50,8
2022_51,7
2022_52,4
2023_00,2
2023_01,6
2023_02,2
2023_03,12
2023_04,8
2023_05,6
2023_06,12
2023_07,4
2023_08,5
2023_09,4
2023_10,5
2023_11,8
2023_12,9
2023_13,14
2023_14,6
2023_15,8
2023_16,9
2023_17,5
2023_18,1
2023_19,7
2023_20,6
2023_21,5
2023_22,10
2023_23,4
2023_24,15
2023_25,13
2023_26,7
2023_27,2
2023_28,6
2023_29,6
2023_30,5
2023_31,10
2023_32,9
2023_33,9
2023_34,9
2023_35,6
2023_36,13
2023_37,5
2023_38,13
2023_39,9
2023_40,7
2023_41,8
2023_42,11
2023_43,12
2023_44,5
2023_45,9
2023_46,9
2023_47,9
2023_48,6
