year_week,count
2019_28,2
2019_30,2
2019_31,4
2019_32,2
2019_33,4
2019_34,3
2019_35,9
2019_36,11
2019_37,2
2019_38,6
2019_39,11
2019_40,6
2019_41,15
2019_42,9
2019_43,7
2019_44,8
2019_45,14
2019_46,12
2019_47,13
2019_48,12
2019_49,16
2019_50,17
2019_51,17
2019_52,6
2020_00,9
2020_01,12
2020_02,21
2020_03,22
2020_04,17
2020_05,18
2020_06,23
2020_07,24
2020_08,16
2020_09,31
2020_10,22
2020_11,24
2020_12,19
2020_13,28
2020_14,31
2020_15,28
2020_16,22
2020_17,24
2020_18,11
2020_19,27
2020_20,24
2020_21,26
2020_22,22
2020_23,21
2020_24,37
2020_25,30
2020_26,22
2020_27,34
2020_28,34
2020_29,38
2020_30,31
2020_31,37
2020_32,45
2020_33,32
2020_34,46
2020_35,40
2020_36,33
2020_37,39
2020_38,55
2020_39,37
2020_40,46
2020_41,49
2020_42,29
2020_43,38
2020_44,40
2020_45,51
2020_46,43
2020_47,55
2020_48,43
2020_49,46
2020_50,43
2020_51,60
2020_52,19
2021_00,40
2021_01,58
2021_02,46
2021_03,35
2021_04,50
2021_05,38
2021_06,52
2021_07,56
2021_08,45
2021_09,48
2021_10,45
2021_11,64
2021_12,55
2021_13,57
2021_14,54
2021_15,52
2021_16,66
2021_17,68
2021_18,58
2021_19,61
2021_20,60
2021_21,52
2021_22,54
2021_23,76
2021_24,67
2021_25,72
2021_26,65
2021_27,56
2021_28,57
2021_29,55
2021_30,75
2021_31,56
2021_32,85
2021_33,68
2021_34,57
2021_35,75
2021_36,76
2021_37,70
2021_38,72
2021_39,71
2021_40,67
2021_41,70
2021_42,72
2021_43,69
2021_44,68
2021_45,86
2021_46,69
2021_47,82
2021_48,81
2021_49,91
2021_50,80
2021_51,76
2021_52,18
2022_00,77
2022_01,81
2022_02,77
2022_03,92
2022_04,80
2022_05,72
2022_06,81
2022_07,92
2022_08,86
2022_09,80
2022_10,91
2022_11,112
2022_12,106
2022_13,100
2022_14,82
2022_15,84
2022_16,81
2022_17,88
2022_18,99
2022_19,111
2022_20,111
2022_21,103
2022_22,104
2022_23,105
2022_24,109
2022_25,103
2022_26,109
2022_27,118
2022_28,97
2022_29,105
2022_30,115
2022_31,101
2022_32,103
2022_33,107
2022_34,122
2022_35,111
2022_36,92
2022_37,96
2022_38,117
2022_39,117
2022_40,120
2022_41,113
2022_42,114
2022_43,113
2022_44,118
2022_45,121
2022_46,106
2022_47,120
2022_48,105
2022_49,142
2022_50,100
2022_51,121
2022_52,29
2023_00,88
2023_01,120
2023_02,121
2023_03,115
2023_04,116
2023_05,132
2023_06,131
2023_07,134
2023_08,159
2023_09,136
2023_10,125
2023_11,127
2023_12,145
2023_13,143
2023_14,133
2023_15,145
2023_16,111
2023_17,123
2023_18,130
2023_19,145
2023_20,142
2023_21,142
2023_22,157
2023_23,156
2023_24,120
2023_25,122
2023_26,141
2023_27,146
2023_28,160
2023_29,176
2023_30,153
2023_31,123
2023_32,152
2023_33,147
2023_34,141
2023_35,126
2023_36,154
2023_37,129
2023_38,176
2023_39,146
2023_40,132
2023_41,136
2023_42,145
2023_43,156
2023_44,162
2023_45,159
2023_46,136
2023_47,185
2023_48,163
2023_49,69
