year_week,count
2019_34,2
2019_35,3
2019_36,2
2019_37,4
2019_38,2
2019_39,4
2019_40,1
2019_41,5
2019_42,4
2019_43,1
2019_44,3
2019_45,3
2019_46,4
2019_47,4
2019_48,2
2019_49,8
2019_50,5
2019_51,14
2020_00,4
2020_01,10
2020_02,5
2020_03,6
2020_04,10
2020_05,9
2020_06,7
2020_07,7
2020_08,14
2020_09,12
2020_10,8
2020_11,12
2020_12,13
2020_13,15
2020_14,11
2020_15,6
2020_16,9
2020_17,8
2020_18,10
2020_19,12
2020_20,10
2020_21,14
2020_22,15
2020_23,13
2020_24,16
2020_25,13
2020_26,15
2020_27,16
2020_28,17
2020_29,17
2020_30,16
2020_31,16
2020_32,16
2020_33,16
2020_34,10
2020_35,15
2020_36,16
2020_37,22
2020_38,18
2020_39,20
2020_40,17
2020_41,16
2020_42,15
2020_43,16
2020_44,9
2020_45,14
2020_46,19
2020_47,10
2020_48,23
2020_49,17
2020_50,12
2020_51,15
2020_52,7
2021_00,13
2021_01,18
2021_02,32
2021_03,18
2021_04,20
2021_05,32
2021_06,27
2021_07,14
2021_08,21
2021_09,23
2021_10,18
2021_11,23
2021_12,22
2021_13,27
2021_14,20
2021_15,23
2021_16,21
2021_17,31
2021_18,26
2021_19,20
2021_20,21
2021_21,29
2021_22,17
2021_23,28
2021_24,32
2021_25,24
2021_26,28
2021_27,27
2021_28,28
2021_29,31
2021_30,35
2021_31,36
2021_32,33
2021_33,33
2021_34,27
2021_35,20
2021_36,21
2021_37,24
2021_38,37
2021_39,30
2021_40,34
2021_41,31
2021_42,22
2021_43,29
2021_44,37
2021_45,36
2021_46,40
2021_47,24
2021_48,34
2021_49,27
2021_50,32
2021_51,31
2021_52,7
2022_00,28
2022_01,32
2022_02,37
2022_03,32
2022_04,29
2022_05,26
2022_06,30
2022_07,29
2022_08,22
2022_09,47
2022_10,39
2022_11,31
2022_12,39
2022_13,37
2022_14,43
2022_15,31
2022_16,32
2022_17,49
2022_18,34
2022_19,43
2022_20,34
2022_21,46
2022_22,27
2022_23,41
2022_24,32
2022_25,41
2022_26,44
2022_27,31
2022_28,45
2022_29,39
2022_30,31
2022_31,46
2022_32,39
2022_33,47
2022_34,39
2022_35,38
2022_36,42
2022_37,47
2022_38,31
2022_39,42
2022_40,44
2022_41,43
2022_42,52
2022_43,57
2022_44,53
2022_45,48
2022_46,54
2022_47,52
2022_48,41
2022_49,54
2022_50,46
2022_51,45
2022_52,22
2023_00,34
2023_01,54
2023_02,44
2023_03,68
2023_04,48
2023_05,54
2023_06,46
2023_07,55
2023_08,48
2023_09,60
2023_10,61
2023_11,62
2023_12,49
2023_13,58
2023_14,43
2023_15,54
2023_16,40
2023_17,53
2023_18,59
2023_19,56
2023_20,51
2023_21,53
2023_22,57
2023_23,50
2023_24,61
2023_25,56
2023_26,62
2023_27,69
2023_28,44
2023_29,74
2023_30,52
2023_31,51
2023_32,53
2023_33,61
2023_34,60
2023_35,48
2023_36,66
2023_37,62
2023_38,51
2023_39,68
2023_40,62
2023_41,68
2023_42,59
2023_43,53
2023_44,73
2023_45,48
2023_46,61
2023_47,54
2023_48,70
2023_49,27
