year_week,count
2019_29,1
2019_30,1
2019_33,3
2019_34,4
2019_35,3
2019_36,3
2019_37,8
2019_38,2
2019_39,11
2019_40,4
2019_41,15
2019_42,12
2019_43,8
2019_44,5
2019_45,6
2019_46,10
2019_47,16
2019_48,14
2019_49,14
2019_50,10
2019_51,11
2019_52,7
2020_00,10
2020_01,12
2020_02,13
2020_03,15
2020_04,16
2020_05,13
2020_06,16
2020_07,23
2020_08,14
2020_09,25
2020_10,24
2020_11,20
2020_12,27
2020_13,31
2020_14,21
2020_15,28
2020_16,27
2020_17,20
2020_18,23
2020_19,32
2020_20,30
2020_21,17
2020_22,29
2020_23,28
2020_24,36
2020_25,30
2020_26,34
2020_27,15
2020_28,22
2020_29,35
2020_30,23
2020_31,27
2020_32,33
2020_33,31
2020_34,43
2020_35,31
2020_36,39
2020_37,34
2020_38,39
2020_39,57
2020_40,30
2020_41,46
2020_42,45
2020_43,42
2020_44,45
2020_45,44
2020_46,38
2020_47,38
2020_48,44
2020_49,52
2020_50,52
2020_51,42
2020_52,10
2021_00,30
2021_01,44
2021_02,52
2021_03,44
2021_04,63
2021_05,47
2021_06,59
2021_07,47
2021_08,55
2021_09,48
2021_10,51
2021_11,50
2021_12,39
2021_13,54
2021_14,42
2021_15,63
2021_16,57
2021_17,54
2021_18,45
2021_19,54
2021_20,58
2021_21,42
2021_22,44
2021_23,71
2021_24,60
2021_25,74
2021_26,65
2021_27,64
2021_28,55
2021_29,46
2021_30,53
2021_31,52
2021_32,64
2021_33,61
2021_34,56
2021_35,63
2021_36,70
2021_37,55
2021_38,74
2021_39,67
2021_40,71
2021_41,72
2021_42,73
2021_43,64
2021_44,62
2021_45,78
2021_46,68
2021_47,75
2021_48,72
2021_49,84
2021_50,84
2021_51,96
2021_52,14
2022_00,48
2022_01,78
2022_02,95
2022_03,81
2022_04,85
2022_05,90
2022_06,81
2022_07,81
2022_08,70
2022_09,69
2022_10,72
2022_11,98
2022_12,98
2022_13,97
2022_14,101
2022_15,86
2022_16,78
2022_17,94
2022_18,107
2022_19,103
2022_20,90
2022_21,86
2022_22,90
2022_23,90
2022_24,93
2022_25,86
2022_26,98
2022_27,115
2022_28,82
2022_29,96
2022_30,85
2022_31,98
2022_32,89
2022_33,98
2022_34,94
2022_35,93
2022_36,107
2022_37,96
2022_38,90
2022_39,86
2022_40,102
2022_41,94
2022_42,117
2022_43,82
2022_44,115
2022_45,113
2022_46,94
2022_47,129
2022_48,108
2022_49,104
2022_50,89
2022_51,108
2022_52,37
2023_00,81
2023_01,96
2023_02,97
2023_03,124
2023_04,106
2023_05,110
2023_06,112
2023_07,95
2023_08,118
2023_09,129
2023_10,115
2023_11,119
2023_12,114
2023_13,122
2023_14,118
2023_15,130
2023_16,127
2023_17,115
2023_18,135
2023_19,127
2023_20,117
2023_21,133
2023_22,115
2023_23,130
2023_24,124
2023_25,119
2023_26,117
2023_27,128
2023_28,119
2023_29,127
2023_30,131
2023_31,110
2023_32,115
2023_33,146
2023_34,153
2023_35,124
2023_36,111
2023_37,119
2023_38,138
2023_39,127
2023_40,146
2023_41,147
2023_42,142
2023_43,135
2023_44,146
2023_45,144
2023_46,153
2023_47,156
2023_48,128
2023_49,58
