year_week,count
2019_30,2
2019_32,1
2019_35,2
2019_36,3
2019_37,3
2019_38,1
2019_39,2
2019_40,9
2019_41,2
2019_42,5
2019_43,4
2019_44,3
2019_45,6
2019_46,4
2019_47,5
2019_48,4
2019_49,7
2019_50,8
2019_51,9
2019_52,1
2020_00,10
2020_01,7
2020_02,4
2020_03,6
2020_04,8
2020_05,11
2020_06,8
2020_07,10
2020_08,5
2020_09,8
2020_10,6
2020_11,5
2020_12,9
2020_13,8
2020_14,13
2020_15,13
2020_16,10
2020_17,9
2020_18,8
2020_19,12
2020_20,8
2020_21,12
2020_22,11
2020_23,15
2020_24,8
2020_25,4
2020_26,15
2020_27,10
2020_28,13
2020_29,17
2020_30,21
2020_31,7
2020_32,8
2020_33,14
2020_34,11
2020_35,13
2020_36,8
2020_37,17
2020_38,11
2020_39,7
2020_40,13
2020_41,13
2020_42,17
2020_43,12
2020_44,10
2020_45,14
2020_46,17
2020_47,23
2020_48,14
2020_49,18
2020_50,16
2020_51,20
2020_52,6
2021_00,14
2021_01,9
2021_02,17
2021_03,15
2021_04,12
2021_05,16
2021_06,18
2021_07,9
2021_08,13
2021_09,21
2021_10,21
2021_11,19
2021_12,22
2021_13,14
2021_14,19
2021_15,22
2021_16,23
2021_17,24
2021_18,23
2021_19,13
2021_20,12
2021_21,22
2021_22,20
2021_23,15
2021_24,16
2021_25,27
2021_26,19
2021_27,24
2021_28,21
2021_29,19
2021_30,23
2021_31,22
2021_32,25
2021_33,22
2021_34,26
2021_35,23
2021_36,18
2021_37,23
2021_38,28
2021_39,23
2021_40,22
2021_41,22
2021_42,16
2021_43,20
2021_44,21
2021_45,30
2021_46,35
2021_47,29
2021_48,33
2021_49,21
2021_50,39
2021_51,28
2021_52,2
2022_00,29
2022_01,24
2022_02,23
2022_03,30
2022_04,32
2022_05,36
2022_06,24
2022_07,34
2022_08,33
2022_09,30
2022_10,32
2022_11,30
2022_12,29
2022_13,36
2022_14,33
2022_15,32
2022_16,34
2022_17,25
2022_18,43
2022_19,38
2022_20,40
2022_21,23
2022_22,38
2022_23,40
2022_24,44
2022_25,33
2022_26,34
2022_27,34
2022_28,35
2022_29,41
2022_30,35
2022_31,23
2022_32,38
2022_33,43
2022_34,36
2022_35,32
2022_36,32
2022_37,35
2022_38,34
2022_39,37
2022_40,36
2022_41,41
2022_42,36
2022_43,42
2022_44,46
2022_45,39
2022_46,38
2022_47,40
2022_48,28
2022_49,41
2022_50,44
2022_51,27
2022_52,9
2023_00,34
2023_01,44
2023_02,48
2023_03,51
2023_04,47
2023_05,25
2023_06,42
2023_07,34
2023_08,36
2023_09,34
2023_10,47
2023_11,42
2023_12,48
2023_13,45
2023_14,46
2023_15,38
2023_16,29
2023_17,35
2023_18,54
2023_19,40
2023_20,33
2023_21,63
2023_22,47
2023_23,45
2023_24,50
2023_25,41
2023_26,54
2023_27,43
2023_28,44
2023_29,52
2023_30,41
2023_31,63
2023_32,46
2023_33,48
2023_34,56
2023_35,49
2023_36,53
2023_37,52
2023_38,60
2023_39,36
2023_40,38
2023_41,44
2023_42,67
2023_43,61
2023_44,56
2023_45,52
2023_46,57
2023_47,62
2023_48,51
2023_49,28
