year_week,count
2019_29,2
2019_30,1
2019_35,4
2019_36,2
2019_37,3
2019_38,1
2019_39,6
2019_40,6
2019_41,4
2019_42,4
2019_43,7
2019_44,6
2019_45,8
2019_46,3
2019_47,6
2019_48,6
2019_49,5
2019_50,2
2019_51,7
2020_00,5
2020_01,5
2020_02,7
2020_03,7
2020_04,9
2020_05,11
2020_06,8
2020_07,12
2020_08,10
2020_09,15
2020_10,14
2020_11,12
2020_12,7
2020_13,11
2020_14,9
2020_15,8
2020_16,8
2020_17,14
2020_18,8
2020_19,9
2020_20,8
2020_21,14
2020_22,14
2020_23,15
2020_24,17
2020_25,18
2020_26,20
2020_27,21
2020_28,15
2020_29,12
2020_30,19
2020_31,9
2020_32,13
2020_33,13
2020_34,17
2020_35,24
2020_36,20
2020_37,26
2020_38,12
2020_39,18
2020_40,16
2020_41,28
2020_42,14
2020_43,18
2020_44,17
2020_45,21
2020_46,18
2020_47,14
2020_48,15
2020_49,17
2020_50,21
2020_51,25
2020_52,8
2021_00,16
2021_01,20
2021_02,23
2021_03,18
2021_04,20
2021_05,23
2021_06,15
2021_07,27
2021_08,30
2021_09,15
2021_10,26
2021_11,20
2021_12,29
2021_13,23
2021_14,21
2021_15,22
2021_16,32
2021_17,28
2021_18,22
2021_19,22
2021_20,25
2021_21,25
2021_22,22
2021_23,27
2021_24,29
2021_25,36
2021_26,27
2021_27,31
2021_28,21
2021_29,27
2021_30,36
2021_31,37
2021_32,20
2021_33,20
2021_34,29
2021_35,25
2021_36,24
2021_37,28
2021_38,44
2021_39,28
2021_40,34
2021_41,27
2021_42,30
2021_43,37
2021_44,44
2021_45,40
2021_46,20
2021_47,35
2021_48,30
2021_49,39
2021_50,36
2021_51,43
2021_52,5
2022_00,26
2022_01,34
2022_02,34
2022_03,39
2022_04,27
2022_05,37
2022_06,36
2022_07,42
2022_08,42
2022_09,32
2022_10,32
2022_11,39
2022_12,32
2022_13,26
2022_14,38
2022_15,42
2022_16,30
2022_17,36
2022_18,38
2022_19,44
2022_20,31
2022_21,34
2022_22,51
2022_23,30
2022_24,49
2022_25,34
2022_26,40
2022_27,44
2022_28,36
2022_29,45
2022_30,30
2022_31,48
2022_32,36
2022_33,34
2022_34,43
2022_35,49
2022_36,56
2022_37,47
2022_38,48
2022_39,43
2022_40,48
2022_41,40
2022_42,60
2022_43,51
2022_44,58
2022_45,53
2022_46,57
2022_47,43
2022_48,44
2022_49,49
2022_50,46
2022_51,39
2022_52,13
2023_00,29
2023_01,59
2023_02,58
2023_03,56
2023_04,47
2023_05,55
2023_06,44
2023_07,38
2023_08,54
2023_09,55
2023_10,49
2023_11,48
2023_12,49
2023_13,57
2023_14,57
2023_15,55
2023_16,49
2023_17,54
2023_18,57
2023_19,47
2023_20,39
2023_21,64
2023_22,58
2023_23,49
2023_24,50
2023_25,53
2023_26,47
2023_27,54
2023_28,64
2023_29,67
2023_30,64
2023_31,64
2023_32,59
2023_33,65
2023_34,48
2023_35,63
2023_36,61
2023_37,55
2023_38,55
2023_39,60
2023_40,61
2023_41,52
2023_42,53
2023_43,57
2023_44,55
2023_45,67
2023_46,56
2023_47,68
2023_48,57
2023_49,30
