year_week,count
2019_28,3
2019_29,2
2019_30,3
2019_31,1
2019_32,2
2019_33,9
2019_34,7
2019_35,9
2019_36,15
2019_37,19
2019_38,17
2019_39,26
2019_40,19
2019_41,23
2019_42,25
2019_43,21
2019_44,27
2019_45,35
2019_46,24
2019_47,30
2019_48,36
2019_49,43
2019_50,31
2019_51,47
2019_52,13
2020_00,25
2020_01,38
2020_02,53
2020_03,41
2020_04,54
2020_05,50
2020_06,69
2020_07,72
2020_08,59
2020_09,78
2020_10,76
2020_11,68
2020_12,75
2020_13,82
2020_14,77
2020_15,74
2020_16,75
2020_17,71
2020_18,86
2020_19,79
2020_20,75
2020_21,80
2020_22,79
2020_23,87
2020_24,100
2020_25,92
2020_26,92
2020_27,95
2020_28,100
2020_29,98
2020_30,102
2020_31,104
2020_32,130
2020_33,122
2020_34,109
2020_35,114
2020_36,133
2020_37,112
2020_38,118
2020_39,134
2020_40,100
2020_41,130
2020_42,134
2020_43,139
2020_44,153
2020_45,117
2020_46,104
2020_47,127
2020_48,125
2020_49,137
2020_50,116
2020_51,127
2020_52,43
2021_00,107
2021_01,144
2021_02,130
2021_03,148
2021_04,160
2021_05,153
2021_06,139
2021_07,177
2021_08,138
2021_09,160
2021_10,163
2021_11,166
2021_12,192
2021_13,153
2021_14,173
2021_15,173
2021_16,158
2021_17,160
2021_18,169
2021_19,190
2021_20,157
2021_21,173
2021_22,181
2021_23,180
2021_24,180
2021_25,174
2021_26,185
2021_27,176
2021_28,173
2021_29,212
2021_30,207
2021_31,198
2021_32,181
2021_33,202
2021_34,230
2021_35,177
2021_36,223
2021_37,223
2021_38,219
2021_39,222
2021_40,222
2021_41,249
2021_42,245
2021_43,215
2021_44,248
2021_45,227
2021_46,193
2021_47,256
2021_48,230
2021_49,244
2021_50,234
2021_51,238
2021_52,55
2022_00,188
2022_01,225
2022_02,233
2022_03,231
2022_04,229
2022_05,242
2022_06,239
2022_07,236
2022_08,252
2022_09,232
2022_10,260
2022_11,311
2022_12,257
2022_13,238
2022_14,226
2022_15,243
2022_16,238
2022_17,270
2022_18,291
2022_19,292
2022_20,276
2022_21,250
2022_22,302
2022_23,264
2022_24,263
2022_25,258
2022_26,290
2022_27,292
2022_28,275
2022_29,295
2022_30,288
2022_31,287
2022_32,261
2022_33,289
2022_34,281
2022_35,295
2022_36,346
2022_37,304
2022_38,265
2022_39,316
2022_40,260
2022_41,277
2022_42,278
2022_43,307
2022_44,315
2022_45,367
2022_46,330
2022_47,350
2022_48,348
2022_49,318
2022_50,326
2022_51,295
2022_52,117
2023_00,257
2023_01,369
2023_02,341
2023_03,344
2023_04,363
2023_05,354
2023_06,321
2023_07,376
2023_08,344
2023_09,357
2023_10,361
2023_11,397
2023_12,366
2023_13,360
2023_14,352
2023_15,372
2023_16,342
2023_17,363
2023_18,366
2023_19,402
2023_20,396
2023_21,401
2023_22,420
2023_23,366
2023_24,359
2023_25,380
2023_26,389
2023_27,402
2023_28,418
2023_29,462
2023_30,400
2023_31,407
2023_32,421
2023_33,415
2023_34,392
2023_35,396
2023_36,467
2023_37,490
2023_38,412
2023_39,423
2023_40,406
2023_41,426
2023_42,421
2023_43,461
2023_44,438
2023_45,429
2023_46,447
2023_47,418
2023_48,415
2023_49,181
