year_week,count
2019_35,1
2019_36,2
2019_38,1
2019_41,1
2019_43,1
2019_48,1
2019_49,1
2019_52,1
2020_02,3
2020_03,2
2020_04,3
2020_05,1
2020_07,2
2020_09,1
2020_11,1
2020_12,1
2020_14,3
2020_15,1
2020_17,2
2020_19,1
2020_21,3
2020_22,2
2020_23,2
2020_24,3
2020_25,1
2020_26,1
2020_27,1
2020_28,2
2020_30,2
2020_31,3
2020_32,2
2020_33,3
2020_34,1
2020_35,3
2020_36,3
2020_37,4
2020_38,3
2020_39,5
2020_41,3
2020_42,1
2020_43,4
2020_45,2
2020_46,1
2020_47,5
2020_48,3
2020_50,3
2020_51,2
2020_52,2
2021_00,3
2021_01,5
2021_02,5
2021_03,4
2021_04,3
2021_05,2
2021_08,3
2021_09,4
2021_10,2
2021_11,4
2021_12,3
2021_13,1
2021_14,2
2021_15,2
2021_16,4
2021_17,4
2021_18,3
2021_19,4
2021_20,3
2021_21,2
2021_22,1
2021_23,3
2021_24,2
2021_25,3
2021_26,2
2021_27,2
2021_28,4
2021_29,2
2021_30,1
2021_31,4
2021_32,2
2021_33,4
2021_34,5
2021_35,3
2021_36,3
2021_37,5
2021_38,7
2021_39,4
2021_40,1
2021_41,6
2021_42,4
2021_43,6
2021_44,7
2021_45,4
2021_46,5
2021_47,4
2021_48,7
2021_49,5
2021_50,6
2021_51,4
2021_52,5
2022_00,2
2022_01,2
2022_02,3
2022_03,3
2022_04,5
2022_05,3
2022_06,8
2022_07,5
2022_08,6
2022_09,5
2022_10,3
2022_11,4
2022_12,7
2022_13,5
2022_14,7
2022_15,5
2022_16,10
2022_17,2
2022_18,3
2022_19,3
2022_20,7
2022_21,3
2022_22,11
2022_23,6
2022_24,8
2022_25,5
2022_26,6
2022_27,7
2022_28,9
2022_29,8
2022_30,9
2022_31,4
2022_32,6
2022_33,6
2022_34,4
2022_35,3
2022_36,6
2022_37,4
2022_38,2
2022_39,9
2022_40,9
2022_41,2
2022_42,8
2022_43,6
2022_44,3
2022_45,5
2022_46,4
2022_47,6
2022_48,5
2022_49,6
2022_50,6
2022_51,7
2022_52,4
2023_00,5
2023_01,4
2023_02,13
2023_03,8
2023_04,8
2023_05,16
2023_06,4
2023_07,4
2023_08,7
2023_09,9
2023_10,9
2023_11,7
2023_12,3
2023_13,7
2023_14,2
2023_15,10
2023_16,8
2023_17,9
2023_18,8
2023_19,6
2023_20,7
2023_21,4
2023_22,5
2023_23,10
2023_24,7
2023_25,5
2023_26,3
2023_27,5
2023_28,10
2023_29,6
2023_30,9
2023_31,8
2023_32,9
2023_33,11
2023_34,5
2023_35,9
2023_36,11
2023_37,10
2023_38,12
2023_39,5
2023_40,10
2023_41,7
2023_42,8
2023_43,9
2023_44,11
2023_45,3
2023_46,6
2023_47,11
2023_48,11
2023_49,3
