year_week,count
2019_30,1
2019_32,1
2019_34,2
2019_35,1
2019_36,2
2019_37,1
2019_38,1
2019_39,3
2019_40,3
2019_41,6
2019_42,1
2019_43,2
2019_44,1
2019_45,2
2019_46,2
2019_47,2
2019_48,3
2019_49,3
2019_50,1
2019_51,2
2020_00,3
2020_01,7
2020_02,4
2020_03,4
2020_04,3
2020_05,5
2020_06,7
2020_07,2
2020_08,5
2020_09,3
2020_10,2
2020_11,6
2020_12,4
2020_13,3
2020_14,4
2020_15,11
2020_16,6
2020_17,2
2020_18,7
2020_19,4
2020_20,5
2020_21,6
2020_22,12
2020_23,13
2020_24,6
2020_25,10
2020_26,10
2020_27,3
2020_28,4
2020_29,10
2020_30,5
2020_31,5
2020_32,7
2020_33,11
2020_34,3
2020_35,8
2020_36,6
2020_37,3
2020_38,5
2020_39,10
2020_40,6
2020_41,8
2020_42,11
2020_43,10
2020_44,11
2020_45,10
2020_46,13
2020_47,14
2020_48,10
2020_49,8
2020_50,8
2020_51,7
2020_52,4
2021_00,8
2021_01,10
2021_02,11
2021_03,8
2021_04,5
2021_05,11
2021_06,9
2021_07,10
2021_08,10
2021_09,10
2021_10,11
2021_11,7
2021_12,11
2021_13,13
2021_14,16
2021_15,7
2021_16,5
2021_17,7
2021_18,19
2021_19,13
2021_20,5
2021_21,18
2021_22,10
2021_23,15
2021_24,13
2021_25,13
2021_26,8
2021_27,14
2021_28,22
2021_29,15
2021_30,16
2021_31,15
2021_32,18
2021_33,20
2021_34,16
2021_35,13
2021_36,7
2021_37,11
2021_38,18
2021_39,10
2021_40,10
2021_41,13
2021_42,15
2021_43,10
2021_44,13
2021_45,20
2021_46,13
2021_47,16
2021_48,17
2021_49,11
2021_50,15
2021_51,12
2021_52,6
2022_00,22
2022_01,12
2022_02,14
2022_03,13
2022_04,14
2022_05,17
2022_06,18
2022_07,23
2022_08,26
2022_09,24
2022_10,13
2022_11,11
2022_12,20
2022_13,18
2022_14,14
2022_15,23
2022_16,16
2022_17,21
2022_18,22
2022_19,13
2022_20,18
2022_21,25
2022_22,23
2022_23,22
2022_24,27
2022_25,28
2022_26,18
2022_27,16
2022_28,25
2022_29,17
2022_30,18
2022_31,20
2022_32,21
2022_33,11
2022_34,26
2022_35,22
2022_36,27
2022_37,12
2022_38,21
2022_39,19
2022_40,17
2022_41,21
2022_42,28
2022_43,24
2022_44,20
2022_45,20
2022_46,23
2022_47,24
2022_48,26
2022_49,23
2022_50,22
2022_51,19
2022_52,9
2023_00,24
2023_01,34
2023_02,22
2023_03,30
2023_04,24
2023_05,18
2023_06,23
2023_07,21
2023_08,25
2023_09,25
2023_10,23
2023_11,15
2023_12,28
2023_13,20
2023_14,29
2023_15,23
2023_16,24
2023_17,32
2023_18,24
2023_19,33
2023_20,21
2023_21,29
2023_22,17
2023_23,23
2023_24,34
2023_25,25
2023_26,28
2023_27,36
2023_28,25
2023_29,36
2023_30,31
2023_31,30
2023_32,35
2023_33,34
2023_34,15
2023_35,21
2023_36,26
2023_37,21
2023_38,35
2023_39,31
2023_40,41
2023_41,30
2023_42,24
2023_43,24
2023_44,25
2023_45,28
2023_46,27
2023_47,35
2023_48,31
2023_49,17
