year_week,count
2019_32,1
2019_34,2
2019_35,1
2019_36,3
2019_37,1
2019_39,2
2019_41,1
2019_42,4
2019_43,3
2019_44,1
2019_45,4
2019_46,6
2019_47,5
2019_48,6
2019_49,11
2019_50,5
2019_51,7
2019_52,1
2020_00,6
2020_01,9
2020_02,8
2020_03,6
2020_04,15
2020_05,7
2020_06,12
2020_07,10
2020_08,11
2020_09,14
2020_10,10
2020_11,10
2020_12,9
2020_13,6
2020_14,6
2020_15,15
2020_16,9
2020_17,12
2020_18,7
2020_19,9
2020_20,8
2020_21,11
2020_22,8
2020_23,14
2020_24,9
2020_25,5
2020_26,11
2020_27,17
2020_28,8
2020_29,20
2020_30,10
2020_31,21
2020_32,21
2020_33,17
2020_34,13
2020_35,22
2020_36,11
2020_37,22
2020_38,15
2020_39,14
2020_40,8
2020_41,18
2020_42,21
2020_43,21
2020_44,22
2020_45,18
2020_46,10
2020_47,24
2020_48,19
2020_49,17
2020_50,18
2020_51,16
2020_52,3
2021_00,18
2021_01,15
2021_02,20
2021_03,20
2021_04,23
2021_05,13
2021_06,23
2021_07,29
2021_08,24
2021_09,21
2021_10,14
2021_11,19
2021_12,15
2021_13,28
2021_14,26
2021_15,26
2021_16,17
2021_17,25
2021_18,35
2021_19,33
2021_20,20
2021_21,24
2021_22,21
2021_23,40
2021_24,18
2021_25,19
2021_26,35
2021_27,25
2021_28,25
2021_29,30
2021_30,31
2021_31,28
2021_32,30
2021_33,28
2021_34,31
2021_35,15
2021_36,22
2021_37,27
2021_38,29
2021_39,27
2021_40,34
2021_41,30
2021_42,31
2021_43,36
2021_44,29
2021_45,34
2021_46,38
2021_47,25
2021_48,36
2021_49,35
2021_50,41
2021_51,29
2021_52,6
2022_00,28
2022_01,26
2022_02,40
2022_03,37
2022_04,29
2022_05,35
2022_06,48
2022_07,29
2022_08,34
2022_09,32
2022_10,41
2022_11,29
2022_12,40
2022_13,34
2022_14,36
2022_15,36
2022_16,38
2022_17,36
2022_18,33
2022_19,38
2022_20,34
2022_21,42
2022_22,48
2022_23,46
2022_24,34
2022_25,44
2022_26,37
2022_27,46
2022_28,35
2022_29,34
2022_30,43
2022_31,36
2022_32,37
2022_33,55
2022_34,37
2022_35,36
2022_36,50
2022_37,40
2022_38,42
2022_39,42
2022_40,39
2022_41,51
2022_42,47
2022_43,43
2022_44,39
2022_45,28
2022_46,54
2022_47,57
2022_48,46
2022_49,41
2022_50,52
2022_51,46
2022_52,17
2023_00,42
2023_01,53
2023_02,46
2023_03,50
2023_04,49
2023_05,43
2023_06,44
2023_07,38
2023_08,44
2023_09,48
2023_10,56
2023_11,46
2023_12,48
2023_13,59
2023_14,41
2023_15,57
2023_16,46
2023_17,39
2023_18,56
2023_19,62
2023_20,63
2023_21,58
2023_22,48
2023_23,49
2023_24,48
2023_25,65
2023_26,46
2023_27,66
2023_28,55
2023_29,56
2023_30,66
2023_31,53
2023_32,62
2023_33,46
2023_34,55
2023_35,62
2023_36,52
2023_37,70
2023_38,64
2023_39,57
2023_40,70
2023_41,62
2023_42,61
2023_43,74
2023_44,71
2023_45,47
2023_46,57
2023_47,56
2023_48,53
2023_49,24
