year_week,count
2019_30,1
2019_31,1
2019_34,1
2019_36,1
2019_37,1
2019_40,2
2019_42,1
2019_43,2
2019_44,1
2019_46,2
2019_47,1
2019_48,1
2019_49,2
2019_50,6
2019_51,1
2019_52,1
2020_00,1
2020_01,3
2020_03,2
2020_04,1
2020_05,2
2020_06,3
2020_07,2
2020_08,1
2020_09,1
2020_10,1
2020_11,1
2020_12,4
2020_13,3
2020_14,3
2020_15,1
2020_17,2
2020_18,2
2020_19,3
2020_20,7
2020_21,3
2020_22,2
2020_23,4
2020_24,1
2020_25,7
2020_26,4
2020_27,6
2020_28,7
2020_29,3
2020_30,5
2020_31,1
2020_32,2
2020_33,7
2020_34,2
2020_35,6
2020_36,3
2020_37,4
2020_38,9
2020_39,4
2020_40,3
2020_41,4
2020_42,3
2020_43,7
2020_44,6
2020_45,2
2020_46,5
2020_47,11
2020_48,3
2020_49,7
2020_50,5
2020_51,3
2020_52,2
2021_00,3
2021_01,5
2021_02,8
2021_03,7
2021_04,6
2021_05,6
2021_06,8
2021_07,2
2021_08,8
2021_09,3
2021_10,7
2021_11,9
2021_12,5
2021_13,5
2021_14,8
2021_15,9
2021_16,8
2021_17,11
2021_18,10
2021_19,12
2021_20,7
2021_21,6
2021_22,7
2021_23,8
2021_24,6
2021_25,11
2021_26,6
2021_27,2
2021_28,7
2021_29,13
2021_30,6
2021_31,11
2021_32,7
2021_33,3
2021_34,8
2021_35,15
2021_36,3
2021_37,7
2021_38,9
2021_39,7
2021_40,2
2021_41,4
2021_42,5
2021_43,14
2021_44,7
2021_45,9
2021_46,5
2021_47,12
2021_48,9
2021_49,9
2021_50,7
2021_51,4
2021_52,3
2022_00,6
2022_01,12
2022_02,14
2022_03,7
2022_04,5
2022_05,11
2022_06,16
2022_07,15
2022_08,7
2022_09,7
2022_10,6
2022_11,7
2022_12,11
2022_13,12
2022_14,11
2022_15,9
2022_16,9
2022_17,8
2022_18,6
2022_19,8
2022_20,12
2022_21,11
2022_22,3
2022_23,10
2022_24,11
2022_25,8
2022_26,7
2022_27,13
2022_28,5
2022_29,14
2022_30,15
2022_31,17
2022_32,13
2022_33,17
2022_34,10
2022_35,16
2022_36,6
2022_37,15
2022_38,9
2022_39,16
2022_40,11
2022_41,16
2022_42,11
2022_43,15
2022_44,15
2022_45,14
2022_46,13
2022_47,16
2022_48,9
2022_49,12
2022_50,20
2022_51,14
2022_52,3
2023_00,7
2023_01,13
2023_02,11
2023_03,15
2023_04,14
2023_05,11
2023_06,15
2023_07,19
2023_08,14
2023_09,15
2023_10,19
2023_11,11
2023_12,14
2023_13,16
2023_14,18
2023_15,19
2023_16,12
2023_17,15
2023_18,16
2023_19,18
2023_20,15
2023_21,17
2023_22,20
2023_23,22
2023_24,13
2023_25,20
2023_26,18
2023_27,19
2023_28,10
2023_29,17
2023_30,22
2023_31,19
2023_32,18
2023_33,12
2023_34,14
2023_35,11
2023_36,13
2023_37,20
2023_38,19
2023_39,17
2023_40,16
2023_41,22
2023_42,16
2023_43,13
2023_44,17
2023_45,17
2023_46,22
2023_47,19
2023_48,18
2023_49,7
