year_week,count
2019_28,1
2019_32,4
2019_33,2
2019_34,2
2019_35,4
2019_36,4
2019_37,2
2019_38,1
2019_39,2
2019_40,3
2019_41,5
2019_42,5
2019_43,3
2019_44,2
2019_45,1
2019_46,5
2019_47,7
2019_48,4
2019_49,4
2019_50,1
2019_51,7
2019_52,6
2020_00,3
2020_01,8
2020_02,6
2020_03,12
2020_04,7
2020_05,8
2020_06,6
2020_07,11
2020_08,17
2020_09,11
2020_10,13
2020_11,12
2020_12,9
2020_13,11
2020_14,10
2020_15,5
2020_16,10
2020_17,11
2020_18,7
2020_19,11
2020_20,12
2020_21,12
2020_22,20
2020_23,17
2020_24,12
2020_25,16
2020_26,16
2020_27,7
2020_28,16
2020_29,11
2020_30,9
2020_31,12
2020_32,13
2020_33,13
2020_34,14
2020_35,15
2020_36,17
2020_37,11
2020_38,13
2020_39,30
2020_40,17
2020_41,20
2020_42,19
2020_43,12
2020_44,22
2020_45,19
2020_46,13
2020_47,22
2020_48,19
2020_49,26
2020_50,15
2020_51,22
2020_52,7
2021_00,13
2021_01,22
2021_02,13
2021_03,12
2021_04,23
2021_05,22
2021_06,21
2021_07,27
2021_08,21
2021_09,23
2021_10,20
2021_11,17
2021_12,19
2021_13,21
2021_14,20
2021_15,24
2021_16,18
2021_17,24
2021_18,33
2021_19,25
2021_20,37
2021_21,25
2021_22,26
2021_23,30
2021_24,26
2021_25,29
2021_26,32
2021_27,30
2021_28,28
2021_29,24
2021_30,39
2021_31,31
2021_32,34
2021_33,37
2021_34,39
2021_35,25
2021_36,31
2021_37,22
2021_38,39
2021_39,33
2021_40,32
2021_41,34
2021_42,39
2021_43,32
2021_44,33
2021_45,34
2021_46,36
2021_47,27
2021_48,32
2021_49,37
2021_50,35
2021_51,32
2021_52,15
2022_00,27
2022_01,36
2022_02,39
2022_03,30
2022_04,39
2022_05,41
2022_06,38
2022_07,22
2022_08,28
2022_09,44
2022_10,36
2022_11,32
2022_12,41
2022_13,30
2022_14,48
2022_15,28
2022_16,33
2022_17,43
2022_18,37
2022_19,38
2022_20,37
2022_21,35
2022_22,46
2022_23,37
2022_24,42
2022_25,43
2022_26,40
2022_27,41
2022_28,39
2022_29,40
2022_30,40
2022_31,43
2022_32,43
2022_33,38
2022_34,40
2022_35,50
2022_36,44
2022_37,33
2022_38,41
2022_39,45
2022_40,41
2022_41,38
2022_42,51
2022_43,58
2022_44,42
2022_45,48
2022_46,53
2022_47,44
2022_48,53
2022_49,48
2022_50,55
2022_51,57
2022_52,20
2023_00,39
2023_01,39
2023_02,57
2023_03,40
2023_04,44
2023_05,56
2023_06,37
2023_07,60
2023_08,50
2023_09,50
2023_10,50
2023_11,54
2023_12,63
2023_13,51
2023_14,59
2023_15,44
2023_16,56
2023_17,44
2023_18,43
2023_19,49
2023_20,53
2023_21,60
2023_22,75
2023_23,52
2023_24,43
2023_25,50
2023_26,68
2023_27,68
2023_28,50
2023_29,54
2023_30,46
2023_31,47
2023_32,51
2023_33,66
2023_34,66
2023_35,62
2023_36,70
2023_37,44
2023_38,69
2023_39,57
2023_40,60
2023_41,59
2023_42,45
2023_43,68
2023_44,57
2023_45,64
2023_46,60
2023_47,57
2023_48,65
2023_49,27
