year_week,count
2019_28,1
2019_29,1
2019_30,1
2019_33,2
2019_35,1
2019_36,3
2019_37,4
2019_38,1
2019_39,3
2019_40,5
2019_41,4
2019_42,2
2019_43,1
2019_44,5
2019_46,5
2019_47,2
2019_48,3
2019_49,3
2019_50,6
2019_51,3
2020_00,3
2020_01,2
2020_02,10
2020_03,5
2020_04,3
2020_05,7
2020_06,2
2020_07,11
2020_08,3
2020_09,3
2020_10,5
2020_11,12
2020_12,8
2020_13,8
2020_14,7
2020_15,5
2020_16,4
2020_17,4
2020_18,7
2020_19,6
2020_20,8
2020_21,8
2020_22,4
2020_23,6
2020_24,8
2020_25,4
2020_26,6
2020_27,7
2020_28,7
2020_29,9
2020_30,8
2020_31,6
2020_32,7
2020_33,9
2020_34,8
2020_35,7
2020_36,13
2020_37,10
2020_38,5
2020_39,9
2020_40,7
2020_41,9
2020_42,3
2020_43,6
2020_44,5
2020_45,11
2020_46,5
2020_47,8
2020_48,11
2020_49,9
2020_50,11
2020_51,10
2020_52,3
2021_00,9
2021_01,13
2021_02,12
2021_03,5
2021_04,9
2021_05,11
2021_06,10
2021_07,8
2021_08,13
2021_09,11
2021_10,7
2021_11,15
2021_12,18
2021_13,18
2021_14,12
2021_15,16
2021_16,14
2021_17,8
2021_18,15
2021_19,17
2021_20,15
2021_21,14
2021_22,15
2021_23,8
2021_24,19
2021_25,13
2021_26,14
2021_27,11
2021_28,13
2021_29,22
2021_30,10
2021_31,15
2021_32,14
2021_33,16
2021_34,21
2021_35,15
2021_36,18
2021_37,14
2021_38,8
2021_39,12
2021_40,12
2021_41,13
2021_42,21
2021_43,15
2021_44,18
2021_45,18
2021_46,20
2021_47,17
2021_48,26
2021_49,17
2021_50,20
2021_51,26
2021_52,4
2022_00,11
2022_01,23
2022_02,15
2022_03,19
2022_04,17
2022_05,15
2022_06,28
2022_07,20
2022_08,18
2022_09,23
2022_10,20
2022_11,19
2022_12,20
2022_13,20
2022_14,24
2022_15,12
2022_16,23
2022_17,14
2022_18,17
2022_19,26
2022_20,19
2022_21,18
2022_22,14
2022_23,27
2022_24,27
2022_25,26
2022_26,27
2022_27,27
2022_28,21
2022_29,20
2022_30,20
2022_31,11
2022_32,19
2022_33,34
2022_34,26
2022_35,19
2022_36,18
2022_37,13
2022_38,19
2022_39,17
2022_40,24
2022_41,24
2022_42,24
2022_43,35
2022_44,31
2022_45,25
2022_46,12
2022_47,23
2022_48,22
2022_49,32
2022_50,43
2022_51,24
2022_52,7
2023_00,21
2023_01,28
2023_02,22
2023_03,30
2023_04,39
2023_05,29
2023_06,18
2023_07,36
2023_08,46
2023_09,25
2023_10,32
2023_11,30
2023_12,29
2023_13,34
2023_14,23
2023_15,31
2023_16,39
2023_17,22
2023_18,25
2023_19,34
2023_20,31
2023_21,30
2023_22,45
2023_23,26
2023_24,22
2023_25,35
2023_26,17
2023_27,42
2023_28,25
2023_29,27
2023_30,30
2023_31,34
2023_32,31
2023_33,42
2023_34,44
2023_35,36
2023_36,40
2023_37,23
2023_38,27
2023_39,35
2023_40,29
2023_41,32
2023_42,31
2023_43,35
2023_44,29
2023_45,31
2023_46,33
2023_47,35
2023_48,32
2023_49,10
