year_week,count
2019_32,1
2019_35,1
2019_36,1
2019_37,1
2019_38,1
2019_39,4
2019_40,1
2019_41,3
2019_43,3
2019_44,6
2019_46,3
2019_47,4
2019_48,1
2019_49,8
2019_50,4
2019_51,4
2020_00,4
2020_01,6
2020_02,3
2020_03,4
2020_04,1
2020_05,7
2020_06,4
2020_07,3
2020_08,2
2020_09,3
2020_10,4
2020_11,4
2020_12,8
2020_13,4
2020_14,3
2020_15,5
2020_16,6
2020_17,6
2020_18,4
2020_19,3
2020_20,4
2020_21,7
2020_22,6
2020_23,3
2020_24,3
2020_25,5
2020_26,7
2020_27,7
2020_28,3
2020_29,4
2020_30,7
2020_31,5
2020_32,6
2020_33,8
2020_34,3
2020_35,5
2020_36,4
2020_37,6
2020_38,4
2020_39,6
2020_40,5
2020_41,6
2020_42,7
2020_43,12
2020_44,3
2020_45,10
2020_46,6
2020_47,7
2020_48,10
2020_49,6
2020_50,5
2020_51,4
2020_52,2
2021_00,6
2021_01,10
2021_02,4
2021_03,8
2021_04,9
2021_05,11
2021_06,9
2021_07,6
2021_08,4
2021_09,7
2021_10,7
2021_11,17
2021_12,14
2021_13,5
2021_14,15
2021_15,13
2021_16,12
2021_17,8
2021_18,12
2021_19,11
2021_20,14
2021_21,11
2021_22,9
2021_23,13
2021_24,8
2021_25,12
2021_26,6
2021_27,13
2021_28,11
2021_29,7
2021_30,16
2021_31,19
2021_32,10
2021_33,18
2021_34,14
2021_35,10
2021_36,12
2021_37,10
2021_38,8
2021_39,14
2021_40,11
2021_41,12
2021_42,11
2021_43,10
2021_44,11
2021_45,12
2021_46,15
2021_47,19
2021_48,19
2021_49,12
2021_50,17
2021_51,18
2021_52,2
2022_00,9
2022_01,19
2022_02,17
2022_03,11
2022_04,12
2022_05,10
2022_06,6
2022_07,9
2022_08,10
2022_09,9
2022_10,10
2022_11,11
2022_12,22
2022_13,14
2022_14,14
2022_15,18
2022_16,20
2022_17,12
2022_18,19
2022_19,22
2022_20,18
2022_21,15
2022_22,15
2022_23,19
2022_24,24
2022_25,25
2022_26,22
2022_27,22
2022_28,16
2022_29,18
2022_30,18
2022_31,16
2022_32,18
2022_33,19
2022_34,27
2022_35,13
2022_36,23
2022_37,21
2022_38,10
2022_39,13
2022_40,21
2022_41,13
2022_42,18
2022_43,11
2022_44,26
2022_45,19
2022_46,14
2022_47,25
2022_48,23
2022_49,28
2022_50,16
2022_51,18
2022_52,9
2023_00,20
2023_01,27
2023_02,19
2023_03,21
2023_04,18
2023_05,20
2023_06,22
2023_07,18
2023_08,32
2023_09,15
2023_10,23
2023_11,22
2023_12,24
2023_13,20
2023_14,20
2023_15,18
2023_16,16
2023_17,13
2023_18,18
2023_19,19
2023_20,29
2023_21,22
2023_22,22
2023_23,19
2023_24,22
2023_25,17
2023_26,24
2023_27,21
2023_28,12
2023_29,16
2023_30,24
2023_31,19
2023_32,28
2023_33,23
2023_34,40
2023_35,25
2023_36,17
2023_37,21
2023_38,30
2023_39,27
2023_40,23
2023_41,23
2023_42,23
2023_43,26
2023_44,30
2023_45,26
2023_46,29
2023_47,28
2023_48,31
2023_49,8
