year_week,count
2019_30,1
2019_32,1
2019_34,2
2019_35,1
2019_36,4
2019_37,2
2019_38,2
2019_39,3
2019_40,1
2019_41,5
2019_42,4
2019_43,4
2019_44,2
2019_45,7
2019_46,2
2019_47,6
2019_48,5
2019_49,6
2019_50,6
2019_51,6
2019_52,1
2020_00,7
2020_01,7
2020_02,7
2020_03,8
2020_04,7
2020_05,14
2020_06,10
2020_07,8
2020_08,7
2020_09,8
2020_10,20
2020_11,6
2020_12,10
2020_13,8
2020_14,6
2020_15,11
2020_16,14
2020_17,11
2020_18,9
2020_19,14
2020_20,12
2020_21,14
2020_22,19
2020_23,12
2020_24,12
2020_25,10
2020_26,21
2020_27,14
2020_28,12
2020_29,18
2020_30,17
2020_31,6
2020_32,14
2020_33,20
2020_34,15
2020_35,22
2020_36,18
2020_37,16
2020_38,13
2020_39,21
2020_40,20
2020_41,19
2020_42,15
2020_43,23
2020_44,17
2020_45,26
2020_46,12
2020_47,18
2020_48,17
2020_49,23
2020_50,16
2020_51,26
2020_52,4
2021_00,14
2021_01,18
2021_02,20
2021_03,16
2021_04,17
2021_05,22
2021_06,20
2021_07,14
2021_08,26
2021_09,25
2021_10,19
2021_11,26
2021_12,20
2021_13,22
2021_14,21
2021_15,26
2021_16,21
2021_17,28
2021_18,21
2021_19,31
2021_20,34
2021_21,23
2021_22,21
2021_23,30
2021_24,26
2021_25,22
2021_26,24
2021_27,27
2021_28,32
2021_29,25
2021_30,25
2021_31,29
2021_32,35
2021_33,30
2021_34,30
2021_35,32
2021_36,35
2021_37,29
2021_38,32
2021_39,25
2021_40,30
2021_41,28
2021_42,34
2021_43,32
2021_44,35
2021_45,41
2021_46,30
2021_47,28
2021_48,40
2021_49,34
2021_50,35
2021_51,25
2021_52,11
2022_00,24
2022_01,43
2022_02,35
2022_03,37
2022_04,31
2022_05,42
2022_06,42
2022_07,34
2022_08,27
2022_09,35
2022_10,37
2022_11,45
2022_12,28
2022_13,41
2022_14,25
2022_15,38
2022_16,23
2022_17,45
2022_18,30
2022_19,34
2022_20,44
2022_21,37
2022_22,30
2022_23,31
2022_24,34
2022_25,42
2022_26,37
2022_27,37
2022_28,35
2022_29,44
2022_30,39
2022_31,42
2022_32,41
2022_33,41
2022_34,48
2022_35,45
2022_36,47
2022_37,43
2022_38,34
2022_39,46
2022_40,43
2022_41,40
2022_42,37
2022_43,42
2022_44,43
2022_45,43
2022_46,53
2022_47,39
2022_48,50
2022_49,50
2022_50,46
2022_51,37
2022_52,22
2023_00,35
2023_01,48
2023_02,46
2023_03,53
2023_04,52
2023_05,57
2023_06,47
2023_07,56
2023_08,60
2023_09,48
2023_10,56
2023_11,42
2023_12,55
2023_13,49
2023_14,55
2023_15,54
2023_16,58
2023_17,40
2023_18,64
2023_19,66
2023_20,54
2023_21,53
2023_22,45
2023_23,66
2023_24,59
2023_25,52
2023_26,63
2023_27,51
2023_28,52
2023_29,72
2023_30,47
2023_31,64
2023_32,55
2023_33,66
2023_34,56
2023_35,49
2023_36,58
2023_37,62
2023_38,68
2023_39,51
2023_40,70
2023_41,47
2023_42,63
2023_43,55
2023_44,64
2023_45,61
2023_46,72
2023_47,60
2023_48,61
2023_49,28
