year_week,count
2019_29,2
2019_30,4
2019_31,2
2019_32,1
2019_33,3
2019_35,2
2019_36,2
2019_37,1
2019_38,1
2019_39,3
2019_40,8
2019_41,3
2019_42,5
2019_43,5
2019_44,2
2019_45,7
2019_46,3
2019_47,5
2019_48,5
2019_49,7
2019_50,9
2019_51,6
2019_52,3
2020_00,10
2020_01,9
2020_02,9
2020_03,6
2020_04,17
2020_05,4
2020_06,8
2020_07,8
2020_08,15
2020_09,7
2020_10,7
2020_11,6
2020_12,16
2020_13,11
2020_14,15
2020_15,12
2020_16,9
2020_17,15
2020_18,11
2020_19,12
2020_20,13
2020_21,11
2020_22,11
2020_23,12
2020_24,11
2020_25,13
2020_26,12
2020_27,16
2020_28,18
2020_29,17
2020_30,23
2020_31,12
2020_32,16
2020_33,14
2020_34,22
2020_35,20
2020_36,11
2020_37,17
2020_38,13
2020_39,19
2020_40,12
2020_41,14
2020_42,24
2020_43,15
2020_44,15
2020_45,24
2020_46,21
2020_47,24
2020_48,28
2020_49,23
2020_50,23
2020_51,20
2020_52,7
2021_00,21
2021_01,22
2021_02,23
2021_03,23
2021_04,23
2021_05,27
2021_06,22
2021_07,18
2021_08,26
2021_09,23
2021_10,27
2021_11,27
2021_12,29
2021_13,31
2021_14,25
2021_15,41
2021_16,28
2021_17,31
2021_18,28
2021_19,32
2021_20,27
2021_21,19
2021_22,26
2021_23,25
2021_24,31
2021_25,36
2021_26,37
2021_27,27
2021_28,24
2021_29,27
2021_30,32
2021_31,35
2021_32,28
2021_33,41
2021_34,46
2021_35,29
2021_36,34
2021_37,23
2021_38,32
2021_39,23
2021_40,34
2021_41,37
2021_42,32
2021_43,38
2021_44,41
2021_45,31
2021_46,20
2021_47,47
2021_48,36
2021_49,40
2021_50,37
2021_51,42
2021_52,12
2022_00,26
2022_01,38
2022_02,43
2022_03,31
2022_04,28
2022_05,38
2022_06,40
2022_07,47
2022_08,43
2022_09,52
2022_10,38
2022_11,36
2022_12,36
2022_13,40
2022_14,44
2022_15,32
2022_16,36
2022_17,46
2022_18,50
2022_19,44
2022_20,55
2022_21,42
2022_22,45
2022_23,35
2022_24,37
2022_25,57
2022_26,50
2022_27,59
2022_28,50
2022_29,45
2022_30,41
2022_31,47
2022_32,51
2022_33,53
2022_34,43
2022_35,58
2022_36,40
2022_37,56
2022_38,50
2022_39,64
2022_40,52
2022_41,62
2022_42,63
2022_43,51
2022_44,53
2022_45,63
2022_46,45
2022_47,47
2022_48,60
2022_49,61
2022_50,57
2022_51,53
2022_52,14
2023_00,37
2023_01,62
2023_02,52
2023_03,53
2023_04,65
2023_05,62
2023_06,55
2023_07,58
2023_08,61
2023_09,74
2023_10,57
2023_11,50
2023_12,68
2023_13,62
2023_14,62
2023_15,69
2023_16,52
2023_17,63
2023_18,60
2023_19,74
2023_20,53
2023_21,59
2023_22,58
2023_23,63
2023_24,69
2023_25,60
2023_26,70
2023_27,70
2023_28,63
2023_29,76
2023_30,61
2023_31,60
2023_32,68
2023_33,81
2023_34,79
2023_35,66
2023_36,79
2023_37,61
2023_38,57
2023_39,74
2023_40,72
2023_41,73
2023_42,71
2023_43,84
2023_44,76
2023_45,69
2023_46,80
2023_47,75
2023_48,51
2023_49,35
