year_week,count
2019_28,1
2019_30,4
2019_31,1
2019_32,3
2019_33,3
2019_34,3
2019_35,8
2019_36,6
2019_37,15
2019_38,14
2019_39,5
2019_40,13
2019_41,15
2019_42,17
2019_43,9
2019_44,23
2019_45,17
2019_46,12
2019_47,16
2019_48,30
2019_49,22
2019_50,19
2019_51,36
2019_52,4
2020_00,21
2020_01,32
2020_02,21
2020_03,39
2020_04,40
2020_05,29
2020_06,45
2020_07,36
2020_08,40
2020_09,44
2020_10,48
2020_11,39
2020_12,39
2020_13,58
2020_14,48
2020_15,39
2020_16,47
2020_17,45
2020_18,41
2020_19,40
2020_20,48
2020_21,61
2020_22,56
2020_23,50
2020_24,62
2020_25,58
2020_26,66
2020_27,58
2020_28,56
2020_29,58
2020_30,63
2020_31,57
2020_32,71
2020_33,71
2020_34,72
2020_35,63
2020_36,68
2020_37,69
2020_38,84
2020_39,74
2020_40,72
2020_41,82
2020_42,80
2020_43,91
2020_44,95
2020_45,58
2020_46,86
2020_47,65
2020_48,68
2020_49,86
2020_50,77
2020_51,78
2020_52,17
2021_00,75
2021_01,90
2021_02,84
2021_03,93
2021_04,114
2021_05,73
2021_06,90
2021_07,92
2021_08,105
2021_09,89
2021_10,96
2021_11,88
2021_12,105
2021_13,104
2021_14,121
2021_15,112
2021_16,106
2021_17,107
2021_18,102
2021_19,115
2021_20,108
2021_21,131
2021_22,116
2021_23,127
2021_24,112
2021_25,131
2021_26,109
2021_27,113
2021_28,128
2021_29,122
2021_30,129
2021_31,123
2021_32,137
2021_33,158
2021_34,132
2021_35,125
2021_36,143
2021_37,150
2021_38,144
2021_39,133
2021_40,120
2021_41,145
2021_42,150
2021_43,124
2021_44,119
2021_45,131
2021_46,155
2021_47,149
2021_48,142
2021_49,143
2021_50,121
2021_51,144
2021_52,36
2022_00,112
2022_01,149
2022_02,139
2022_03,155
2022_04,158
2022_05,134
2022_06,154
2022_07,159
2022_08,129
2022_09,148
2022_10,133
2022_11,179
2022_12,174
2022_13,157
2022_14,161
2022_15,138
2022_16,145
2022_17,157
2022_18,163
2022_19,173
2022_20,178
2022_21,152
2022_22,166
2022_23,139
2022_24,173
2022_25,167
2022_26,153
2022_27,190
2022_28,164
2022_29,188
2022_30,181
2022_31,176
2022_32,166
2022_33,198
2022_34,173
2022_35,189
2022_36,196
2022_37,176
2022_38,171
2022_39,190
2022_40,172
2022_41,200
2022_42,205
2022_43,209
2022_44,233
2022_45,167
2022_46,194
2022_47,210
2022_48,217
2022_49,230
2022_50,182
2022_51,194
2022_52,62
2023_00,146
2023_01,191
2023_02,212
2023_03,251
2023_04,220
2023_05,226
2023_06,209
2023_07,209
2023_08,211
2023_09,217
2023_10,230
2023_11,240
2023_12,244
2023_13,217
2023_14,242
2023_15,247
2023_16,215
2023_17,229
2023_18,210
2023_19,231
2023_20,245
2023_21,204
2023_22,257
2023_23,253
2023_24,235
2023_25,233
2023_26,249
2023_27,238
2023_28,264
2023_29,235
2023_30,257
2023_31,234
2023_32,260
2023_33,248
2023_34,251
2023_35,238
2023_36,258
2023_37,295
2023_38,271
2023_39,269
2023_40,266
2023_41,259
2023_42,253
2023_43,237
2023_44,280
2023_45,276
2023_46,277
2023_47,251
2023_48,258
2023_49,126
