year_week,count
2019_27,1
2019_29,3
2019_30,1
2019_31,2
2019_32,1
2019_34,2
2019_35,4
2019_36,4
2019_37,4
2019_38,1
2019_39,5
2019_40,4
2019_41,2
2019_42,6
2019_43,7
2019_44,6
2019_45,5
2019_46,7
2019_47,9
2019_48,9
2019_49,7
2019_50,6
2019_51,12
2020_00,8
2020_01,13
2020_02,10
2020_03,9
2020_04,7
2020_05,10
2020_06,9
2020_07,8
2020_08,12
2020_09,11
2020_10,15
2020_11,9
2020_12,14
2020_13,6
2020_14,18
2020_15,16
2020_16,4
2020_17,8
2020_18,8
2020_19,13
2020_20,16
2020_21,24
2020_22,16
2020_23,13
2020_24,13
2020_25,13
2020_26,15
2020_27,14
2020_28,15
2020_29,13
2020_30,16
2020_31,13
2020_32,10
2020_33,24
2020_34,22
2020_35,26
2020_36,17
2020_37,19
2020_38,22
2020_39,18
2020_40,23
2020_41,26
2020_42,21
2020_43,14
2020_44,14
2020_45,29
2020_46,23
2020_47,31
2020_48,20
2020_49,25
2020_50,36
2020_51,15
2020_52,9
2021_00,21
2021_01,26
2021_02,17
2021_03,30
2021_04,24
2021_05,29
2021_06,26
2021_07,25
2021_08,28
2021_09,30
2021_10,24
2021_11,24
2021_12,30
2021_13,27
2021_14,26
2021_15,33
2021_16,27
2021_17,23
2021_18,28
2021_19,27
2021_20,28
2021_21,30
2021_22,23
2021_23,37
2021_24,22
2021_25,39
2021_26,33
2021_27,21
2021_28,34
2021_29,31
2021_30,29
2021_31,33
2021_32,37
2021_33,34
2021_34,41
2021_35,40
2021_36,41
2021_37,28
2021_38,46
2021_39,28
2021_40,35
2021_41,33
2021_42,35
2021_43,31
2021_44,41
2021_45,31
2021_46,43
2021_47,44
2021_48,35
2021_49,44
2021_50,37
2021_51,42
2021_52,6
2022_00,45
2022_01,38
2022_02,47
2022_03,49
2022_04,42
2022_05,37
2022_06,41
2022_07,33
2022_08,57
2022_09,49
2022_10,29
2022_11,45
2022_12,52
2022_13,43
2022_14,47
2022_15,33
2022_16,56
2022_17,53
2022_18,39
2022_19,47
2022_20,50
2022_21,39
2022_22,53
2022_23,39
2022_24,54
2022_25,53
2022_26,57
2022_27,39
2022_28,47
2022_29,68
2022_30,53
2022_31,53
2022_32,50
2022_33,50
2022_34,65
2022_35,55
2022_36,51
2022_37,51
2022_38,55
2022_39,60
2022_40,54
2022_41,56
2022_42,60
2022_43,64
2022_44,60
2022_45,52
2022_46,59
2022_47,60
2022_48,43
2022_49,40
2022_50,61
2022_51,54
2022_52,16
2023_00,59
2023_01,53
2023_02,41
2023_03,72
2023_04,56
2023_05,59
2023_06,62
2023_07,77
2023_08,78
2023_09,65
2023_10,71
2023_11,59
2023_12,66
2023_13,73
2023_14,88
2023_15,42
2023_16,63
2023_17,62
2023_18,56
2023_19,75
2023_20,88
2023_21,71
2023_22,66
2023_23,77
2023_24,69
2023_25,70
2023_26,61
2023_27,66
2023_28,75
2023_29,76
2023_30,91
2023_31,77
2023_32,85
2023_33,78
2023_34,62
2023_35,67
2023_36,48
2023_37,68
2023_38,75
2023_39,83
2023_40,62
2023_41,79
2023_42,70
2023_43,73
2023_44,102
2023_45,87
2023_46,80
2023_47,76
2023_48,87
2023_49,32
