year_week,count
2019_30,1
2019_32,1
2019_33,2
2019_34,3
2019_35,4
2019_37,1
2019_38,2
2019_39,2
2019_40,3
2019_41,3
2019_42,2
2019_43,5
2019_44,4
2019_45,4
2019_46,6
2019_47,6
2019_48,7
2019_49,3
2019_50,5
2019_51,5
2019_52,1
2020_00,1
2020_01,4
2020_02,8
2020_03,9
2020_04,6
2020_05,11
2020_06,11
2020_07,11
2020_08,8
2020_09,15
2020_10,12
2020_11,4
2020_12,8
2020_13,6
2020_14,11
2020_15,7
2020_16,10
2020_17,12
2020_18,6
2020_19,9
2020_20,8
2020_21,10
2020_22,13
2020_23,13
2020_24,6
2020_25,14
2020_26,12
2020_27,9
2020_28,23
2020_29,22
2020_30,9
2020_31,14
2020_32,12
2020_33,14
2020_34,18
2020_35,19
2020_36,22
2020_37,12
2020_38,25
2020_39,29
2020_40,16
2020_41,18
2020_42,11
2020_43,14
2020_44,18
2020_45,20
2020_46,14
2020_47,28
2020_48,19
2020_49,27
2020_50,20
2020_51,18
2020_52,5
2021_00,16
2021_01,17
2021_02,18
2021_03,32
2021_04,25
2021_05,24
2021_06,28
2021_07,19
2021_08,26
2021_09,20
2021_10,20
2021_11,23
2021_12,30
2021_13,22
2021_14,27
2021_15,28
2021_16,15
2021_17,18
2021_18,27
2021_19,26
2021_20,25
2021_21,31
2021_22,23
2021_23,28
2021_24,21
2021_25,31
2021_26,27
2021_27,23
2021_28,23
2021_29,27
2021_30,31
2021_31,24
2021_32,39
2021_33,18
2021_34,22
2021_35,24
2021_36,26
2021_37,32
2021_38,35
2021_39,25
2021_40,26
2021_41,46
2021_42,33
2021_43,30
2021_44,27
2021_45,32
2021_46,38
2021_47,28
2021_48,37
2021_49,33
2021_50,32
2021_51,37
2021_52,12
2022_00,27
2022_01,30
2022_02,38
2022_03,31
2022_04,33
2022_05,32
2022_06,35
2022_07,36
2022_08,40
2022_09,29
2022_10,40
2022_11,46
2022_12,46
2022_13,35
2022_14,31
2022_15,45
2022_16,44
2022_17,37
2022_18,36
2022_19,52
2022_20,41
2022_21,43
2022_22,47
2022_23,43
2022_24,33
2022_25,36
2022_26,37
2022_27,44
2022_28,43
2022_29,44
2022_30,39
2022_31,42
2022_32,41
2022_33,44
2022_34,39
2022_35,49
2022_36,50
2022_37,44
2022_38,37
2022_39,49
2022_40,47
2022_41,35
2022_42,63
2022_43,45
2022_44,56
2022_45,52
2022_46,48
2022_47,44
2022_48,47
2022_49,48
2022_50,52
2022_51,38
2022_52,18
2023_00,34
2023_01,60
2023_02,53
2023_03,38
2023_04,62
2023_05,62
2023_06,52
2023_07,37
2023_08,58
2023_09,53
2023_10,50
2023_11,55
2023_12,68
2023_13,62
2023_14,52
2023_15,47
2023_16,48
2023_17,43
2023_18,63
2023_19,51
2023_20,49
2023_21,45
2023_22,57
2023_23,62
2023_24,58
2023_25,58
2023_26,56
2023_27,48
2023_28,51
2023_29,61
2023_30,53
2023_31,55
2023_32,59
2023_33,63
2023_34,63
2023_35,62
2023_36,67
2023_37,53
2023_38,59
2023_39,52
2023_40,50
2023_41,50
2023_42,61
2023_43,59
2023_44,62
2023_45,64
2023_46,44
2023_47,61
2023_48,70
2023_49,29
