year_week,count
2019_29,1
2019_30,3
2019_33,2
2019_34,5
2019_35,1
2019_36,8
2019_37,3
2019_38,4
2019_39,5
2019_40,6
2019_41,7
2019_42,13
2019_43,2
2019_44,8
2019_45,8
2019_46,10
2019_47,12
2019_48,10
2019_49,14
2019_50,9
2019_51,11
2019_52,2
2020_00,7
2020_01,14
2020_02,12
2020_03,12
2020_04,16
2020_05,18
2020_06,17
2020_07,10
2020_08,17
2020_09,24
2020_10,28
2020_11,18
2020_12,11
2020_13,21
2020_14,22
2020_15,20
2020_16,27
2020_17,8
2020_18,23
2020_19,30
2020_20,19
2020_21,29
2020_22,20
2020_23,21
2020_24,26
2020_25,15
2020_26,20
2020_27,16
2020_28,31
2020_29,22
2020_30,26
2020_31,38
2020_32,36
2020_33,23
2020_34,24
2020_35,38
2020_36,26
2020_37,27
2020_38,44
2020_39,41
2020_40,34
2020_41,47
2020_42,35
2020_43,34
2020_44,33
2020_45,35
2020_46,46
2020_47,50
2020_48,33
2020_49,39
2020_50,33
2020_51,33
2020_52,9
2021_00,34
2021_01,45
2021_02,43
2021_03,40
2021_04,51
2021_05,42
2021_06,46
2021_07,41
2021_08,42
2021_09,54
2021_10,36
2021_11,37
2021_12,63
2021_13,60
2021_14,51
2021_15,58
2021_16,51
2021_17,53
2021_18,43
2021_19,63
2021_20,42
2021_21,49
2021_22,57
2021_23,43
2021_24,43
2021_25,47
2021_26,61
2021_27,54
2021_28,75
2021_29,72
2021_30,62
2021_31,50
2021_32,55
2021_33,65
2021_34,62
2021_35,60
2021_36,59
2021_37,47
2021_38,54
2021_39,50
2021_40,70
2021_41,74
2021_42,67
2021_43,71
2021_44,80
2021_45,70
2021_46,61
2021_47,57
2021_48,80
2021_49,75
2021_50,61
2021_51,76
2021_52,19
2022_00,71
2022_01,58
2022_02,73
2022_03,70
2022_04,72
2022_05,67
2022_06,67
2022_07,80
2022_08,88
2022_09,63
2022_10,78
2022_11,62
2022_12,80
2022_13,60
2022_14,64
2022_15,81
2022_16,68
2022_17,73
2022_18,79
2022_19,74
2022_20,80
2022_21,66
2022_22,84
2022_23,76
2022_24,67
2022_25,76
2022_26,77
2022_27,74
2022_28,69
2022_29,83
2022_30,77
2022_31,88
2022_32,98
2022_33,96
2022_34,73
2022_35,82
2022_36,97
2022_37,104
2022_38,102
2022_39,84
2022_40,77
2022_41,84
2022_42,80
2022_43,80
2022_44,110
2022_45,82
2022_46,90
2022_47,91
2022_48,87
2022_49,100
2022_50,88
2022_51,82
2022_52,36
2023_00,80
2023_01,90
2023_02,94
2023_03,120
2023_04,109
2023_05,98
2023_06,95
2023_07,93
2023_08,103
2023_09,94
2023_10,100
2023_11,126
2023_12,114
2023_13,119
2023_14,96
2023_15,108
2023_16,82
2023_17,121
2023_18,95
2023_19,97
2023_20,105
2023_21,124
2023_22,102
2023_23,102
2023_24,118
2023_25,121
2023_26,122
2023_27,119
2023_28,97
2023_29,122
2023_30,118
2023_31,115
2023_32,124
2023_33,119
2023_34,111
2023_35,137
2023_36,101
2023_37,152
2023_38,112
2023_39,136
2023_40,113
2023_41,119
2023_42,93
2023_43,121
2023_44,131
2023_45,117
2023_46,141
2023_47,138
2023_48,114
2023_49,54
